AccountID,CustomerID,AccountType,Balance,Currency,Status,BranchID,CreatedDate
1,1,Savings,95236.79,GBP,Closed,6,2022-01-20
2,1,Checking,30583.58,USD,Active,4,2023-01-13
3,2,Business,53812.77,EUR,Inactive,6,2022-06-15
4,3,Business,19398.67,USD,Closed,7,2021-11-25
5,4,Business,38737.62,USD,Closed,1,2023-03-21
6,4,Savings,92927.47,EUR,Active,9,2022-11-27
7,5,Checking,58808.62,UZS,Closed,3,2021-10-25
8,6,Joint,93973.25,GBP,Closed,5,2022-11-02
9,7,Checking,67864.46,UZS,Active,4,2024-02-26
10,7,Checking,15348.06,UZS,Closed,8,2023-09-14
11,7,Business,44689.83,EUR,Inactive,4,2021-02-12
12,8,Joint,47822.89,EUR,Closed,4,2021-04-21
13,9,Joint,27713.35,EUR,Inactive,5,2022-04-26
14,9,Joint,67850.85,GBP,Inactive,8,2023-10-02
15,10,Checking,89323.35,USD,Inactive,10,2020-08-07
16,10,Savings,65808.47,USD,Inactive,10,2023-01-06
17,11,Checking,2777.76,UZS,Active,2,2020-12-22
18,11,Savings,27276.58,USD,Closed,5,2022-07-27
19,11,Joint,10261.24,GBP,Closed,6,2022-09-24
20,12,Checking,16420.69,GBP,Inactive,6,2022-03-30
21,13,Checking,81266.18,USD,Closed,5,2023-07-12
22,13,Joint,61999.35,USD,Active,5,2022-04-09
23,14,Checking,65306.9,UZS,Closed,7,2022-04-22
24,14,Business,76851.11,UZS,Inactive,1,2024-03-09
25,14,Savings,14722.62,UZS,Inactive,3,2023-01-19
26,15,Checking,34916.39,EUR,Active,10,2021-09-17
27,16,Checking,54437.25,UZS,Active,7,2024-09-24
28,17,Joint,20324.07,GBP,Closed,7,2021-08-25
29,17,Business,93949.07,USD,Closed,8,2022-11-24
30,18,Business,31607.64,USD,Active,4,2021-06-01
31,18,Joint,53333.77,USD,Inactive,3,2023-08-16
32,19,Joint,12947.9,EUR,Active,4,2024-04-03
33,19,Savings,34052.03,GBP,Inactive,6,2024-06-19
34,19,Business,32305.88,UZS,Closed,7,2023-01-05
35,20,Joint,91828.56,UZS,Closed,6,2023-03-28
36,21,Savings,99547.87,USD,Closed,1,2024-09-16
37,21,Checking,53274.37,UZS,Active,1,2025-04-03
38,22,Savings,65833.31,GBP,Inactive,5,2025-02-16
39,23,Joint,5937.02,EUR,Inactive,6,2020-07-16
40,23,Joint,78853.5,UZS,Active,2,2022-09-17
41,24,Savings,31320.66,EUR,Closed,1,2023-06-13
42,25,Business,88328.11,EUR,Closed,9,2024-08-05
43,25,Business,89514.76,EUR,Active,3,2024-03-17
44,26,Joint,88137.99,EUR,Active,5,2023-05-01
45,26,Joint,84406.53,UZS,Inactive,7,2022-04-21
46,26,Business,88610.37,EUR,Closed,1,2021-01-28
47,27,Joint,14489.54,USD,Active,4,2024-08-16
48,27,Checking,48342.4,USD,Inactive,8,2025-06-18
49,27,Checking,65030.06,GBP,Active,10,2020-09-25
50,28,Checking,82022.27,GBP,Closed,7,2022-04-12
51,28,Business,55655.24,USD,Active,5,2024-07-31
52,28,Joint,69177.48,EUR,Active,10,2023-04-05
53,29,Checking,95275.09,USD,Closed,4,2020-07-03
54,29,Savings,97854.25,USD,Active,10,2024-12-14
55,30,Savings,64908.06,EUR,Active,3,2020-10-29
56,31,Business,40697.49,GBP,Active,6,2023-12-05
57,32,Savings,31481.54,GBP,Active,9,2022-07-26
58,32,Business,5207.76,USD,Inactive,5,2022-04-17
59,32,Savings,80195.07,EUR,Active,6,2022-10-04
60,33,Business,17157.23,GBP,Active,4,2022-01-02
61,33,Savings,12266.73,EUR,Inactive,10,2022-03-04
62,34,Joint,87840.19,EUR,Active,2,2023-04-19
63,34,Savings,48093.7,EUR,Inactive,10,2022-09-13
64,34,Savings,8564.16,UZS,Active,5,2025-02-13
65,35,Joint,11861.14,GBP,Closed,1,2023-03-02
66,35,Business,99900.8,UZS,Inactive,10,2022-09-29
67,36,Joint,70472.1,USD,Active,8,2024-02-21
68,36,Checking,12227.94,USD,Active,5,2021-03-27
69,37,Savings,62802.05,EUR,Closed,4,2020-11-06
70,38,Business,43317.65,GBP,Closed,8,2024-07-15
71,38,Joint,21374.35,USD,Closed,4,2021-04-16
72,38,Business,74128.82,UZS,Active,1,2020-11-15
73,39,Joint,88758.43,UZS,Active,3,2021-02-17
74,39,Business,8744.51,USD,Inactive,1,2022-09-15
75,39,Checking,65401.14,USD,Active,1,2024-09-04
76,40,Checking,37709.61,UZS,Active,8,2021-12-30
77,41,Checking,60715.66,USD,Active,3,2022-06-17
78,42,Joint,26424.95,UZS,Closed,10,2022-01-15
79,43,Joint,90311.32,USD,Active,2,2024-04-16
80,44,Checking,47384.14,USD,Closed,1,2022-11-10
81,44,Business,21725.65,UZS,Inactive,8,2021-05-08
82,44,Joint,90227.7,EUR,Inactive,10,2024-03-23
83,45,Joint,90020.01,UZS,Inactive,4,2022-05-07
84,45,Joint,10587.69,GBP,Active,2,2020-12-27
85,45,Business,81370.26,EUR,Closed,1,2023-07-07
86,46,Savings,2062.5,GBP,Inactive,4,2023-05-09
87,46,Checking,32943.23,USD,Active,8,2025-03-24
88,46,Joint,87271.27,UZS,Inactive,10,2021-02-18
89,47,Joint,57945.6,EUR,Active,2,2021-10-01
90,47,Checking,4218.45,UZS,Closed,8,2023-09-25
91,48,Checking,40109.55,UZS,Closed,9,2023-03-17
92,48,Joint,97999.76,GBP,Closed,10,2023-10-03
93,49,Business,83042.79,USD,Closed,3,2023-04-23
94,49,Business,17137.04,GBP,Inactive,3,2023-03-23
95,50,Savings,89070.91,GBP,Inactive,7,2020-11-03
