CaseID,CustomerID,CaseType,Status,InvestigatorID
1,232,SuspiciousTransfer,Escalated,INV_A
2,232,International,Open,Compliance77
3,437,International,Closed,AML001
4,74,SuspiciousTransfer,Open,AML002
5,74,ShellAccount,Open,TeamX
6,575,International,Closed,TeamX
7,575,Structuring,Closed,INV_A
8,315,SuspiciousTransfer,Escalated,TeamX
9,235,International,Closed,INV_A
10,43,SuspiciousTransfer,Investigating,TeamX
11,250,International,Open,INV_A
12,250,SuspiciousTransfer,Open,AML001
13,798,LargeCash,Escalated,AML001
14,995,Structuring,Escalated,AML001
15,995,ShellAccount,Escalated,Compliance77
16,548,SuspiciousTransfer,Closed,INV_A
17,183,ShellAccount,Closed,AML001
18,519,Structuring,Escalated,AML002
19,560,International,Escalated,INV_A
20,803,LargeCash,Closed,INV_A
21,568,LargeCash,Open,TeamX
22,568,Structuring,Investigating,AML002
23,544,ShellAccount,Investigating,INV_A
24,544,Structuring,Escalated,INV_A
25,119,Structuring,Open,INV_A
26,904,ShellAccount,Investigating,Compliance77
27,938,SuspiciousTransfer,Open,AML001
28,938,SuspiciousTransfer,Open,AML001
29,201,Structuring,Investigating,Compliance77
30,740,ShellAccount,Escalated,INV_A
31,740,ShellAccount,Closed,AML001
32,804,ShellAccount,Investigating,TeamX
33,804,SuspiciousTransfer,Investigating,TeamX
34,629,SuspiciousTransfer,Closed,TeamX
35,677,Structuring,Investigating,AML002
36,785,Structuring,Open,AML002
37,785,SuspiciousTransfer,Closed,AML001
38,204,SuspiciousTransfer,Escalated,INV_A
39,910,LargeCash,Escalated,AML002
40,910,International,Investigating,Compliance77
41,215,LargeCash,Investigating,AML001
42,215,International,Investigating,INV_A
43,707,International,Escalated,TeamX
44,707,LargeCash,Open,AML002
45,423,SuspiciousTransfer,Investigating,TeamX
46,140,ShellAccount,Escalated,AML001
47,140,SuspiciousTransfer,Open,TeamX
48,409,SuspiciousTransfer,Escalated,INV_A
49,409,SuspiciousTransfer,Open,Compliance77
50,304,LargeCash,Investigating,AML002
51,304,International,Escalated,Compliance77
52,662,Structuring,Open,Compliance77
53,662,ShellAccount,Open,TeamX
54,918,International,Closed,AML002
55,200,International,Investigating,INV_A
56,200,LargeCash,Escalated,TeamX
57,137,Structuring,Escalated,TeamX
58,641,International,Escalated,AML001
59,705,ShellAccount,Closed,AML001
