PaymentID,CustomerID,BillerName,Amount,Date,Status
1,585,Perez-Hart,218.58,2/26/2025,Failed
2,479,George Inc,41.03,6/7/2025,Failed
3,873,Wolfe LLC,941.69,3/1/2025,Failed
4,886,Lane-Carter,381.3,5/29/2025,Failed
5,402,Galloway Group,196.33,1/29/2025,Paid
6,481,Miller-Williams,547.22,6/11/2025,Failed
7,436,Castillo Inc,164.26,3/13/2025,Paid
8,461,"Collier, Griffin and Pierce",128.45,5/5/2025,Paid
9,421,Scott-Lee,45.55,6/18/2025,Paid
10,955,Richardson-Carr,833.59,4/29/2025,Failed
11,807,"Goodwin, Martinez and Kelly",744.82,2/27/2025,Paid
12,125,"Holden, Sharp and Andrews",569.89,5/10/2025,Paid
13,758,Hurley-Padilla,135.19,1/22/2025,Paid
14,447,Jones LLC,841.67,5/21/2025,Paid
15,604,Rice-Zamora,292.77,3/29/2025,Paid
16,835,Michael-Brown,564.63,1/6/2025,Failed
17,51,"Chavez, Grant and Williams",68.01,2/16/2025,Paid
18,140,Lewis-Phillips,509.6,1/5/2025,Failed
19,683,"White, Thompson and Moore",184.73,2/6/2025,Paid
20,353,"Maddox, Ramos and Miller",930.49,4/29/2025,Failed
21,477,Sanchez Ltd,826.82,4/9/2025,Failed
22,804,Christensen and Sons,68.76,2/26/2025,Failed
23,688,Swanson-Sandoval,596.9,2/24/2025,Paid
24,715,Davis-Meyer,397.98,5/31/2025,Paid
25,903,Bowers-Mckinney,959.67,2/12/2025,Paid
26,577,"Cooper, Johnson and Russo",349.13,1/13/2025,Failed
27,314,"Garcia, Garcia and Walker",445.33,6/16/2025,Failed
28,461,Williams-Wheeler,218.23,2/5/2025,Failed
29,985,Dawson-Nguyen,602.73,4/23/2025,Failed
30,713,White PLC,802.19,6/13/2025,Paid
31,608,Howell-Thomas,821.09,3/9/2025,Paid
32,38,Simmons Ltd,367.02,2/14/2025,Paid
33,995,"Mahoney, Harper and Fisher",220.56,6/13/2025,Failed
34,246,Shelton-Williams,858.37,3/2/2025,Failed
35,817,"Miller, Jenkins and Watts",296.66,6/13/2025,Paid
36,361,Pitts-Norris,63.99,2/5/2025,Failed
37,366,Jones PLC,123.72,1/24/2025,Failed
38,765,Stein LLC,280.37,1/6/2025,Failed
39,655,Hull-Hernandez,483.43,3/8/2025,Failed
40,555,Martinez Ltd,138.23,1/23/2025,Paid
41,749,Patrick Inc,130.75,5/17/2025,Failed
42,269,White Inc,519.4,1/11/2025,Failed
43,512,Hickman-Beasley,462.1,4/19/2025,Paid
44,383,"Mccarthy, Jimenez and Phillips",866.05,3/3/2025,Failed
45,671,Howard-Mitchell,559.06,6/6/2025,Paid
46,550,Edwards-Davidson,250.49,3/13/2025,Failed
47,619,"Melendez, Campbell and Skinner",587.12,1/1/2025,Failed
48,770,"Robertson, Guerrero and Hartman",141.71,4/3/2025,Failed
49,149,Roberson PLC,777.56,3/10/2025,Paid
50,627,Phillips LLC,216.14,6/20/2025,Failed
51,914,Martin-Farley,269.09,6/12/2025,Paid
52,153,Holt Ltd,393.89,2/2/2025,Failed
53,115,"Aguirre, Allen and Smith",585.78,2/1/2025,Failed
54,986,Shaffer PLC,593.56,6/2/2025,Paid
55,216,"White, Norris and Glenn",382.17,2/9/2025,Paid
56,218,Hunt PLC,634.57,4/19/2025,Paid
57,784,"Davis, Hale and Butler",564.01,6/9/2025,Paid
58,41,Johnson Group,334.52,2/25/2025,Failed
59,544,Martinez Inc,149.95,1/14/2025,Failed
60,383,"Caldwell, Rose and Lopez",247.5,1/31/2025,Failed
61,864,Malone Ltd,344.85,5/6/2025,Failed
62,707,"Reid, Carter and Mendoza",188.23,3/19/2025,Paid
63,613,"Lee, Davenport and Long",682.03,6/3/2025,Failed
64,260,"Vance, White and Peck",490.45,5/2/2025,Paid
65,117,Norton Group,202.57,5/18/2025,Paid
66,413,Rubio-Flores,599.07,1/8/2025,Paid
67,298,"Martinez, Jones and Pena",751.09,3/27/2025,Paid
68,463,Collins Ltd,246.14,5/25/2025,Paid
69,820,Hall Ltd,144.98,5/21/2025,Paid
70,85,Rodgers-Martinez,451.69,3/24/2025,Failed
71,523,"Butler, Cooley and Navarro",442.87,1/31/2025,Paid
72,813,"Pruitt, Bullock and Buchanan",259.41,2/3/2025,Failed
73,703,"Andrews, Watkins and Walker",726.8,5/23/2025,Failed
74,383,Chapman-Hanna,839.77,3/19/2025,Paid
75,324,"Carrillo, Bradshaw and Flowers",339.14,6/8/2025,Failed
76,710,"Elliott, Lewis and Alexander",666.96,3/14/2025,Failed
77,800,"Cline, Woodward and Lopez",848.13,4/16/2025,Paid
78,470,Howard Group,314.64,2/19/2025,Paid
79,937,Williams LLC,143.03,4/24/2025,Failed
80,217,Park-Santiago,315.77,5/15/2025,Failed
81,212,Duke-Sanders,362.75,3/21/2025,Paid
82,71,Nguyen LLC,696.14,5/25/2025,Failed
83,361,"Wilkerson, Pruitt and Ross",51.02,3/21/2025,Paid
84,922,Nguyen-Lawson,969.32,5/21/2025,Paid
85,52,Gomez-Briggs,626.52,4/3/2025,Paid
86,751,Cherry-Thomas,791.47,5/17/2025,Failed
87,606,Ray PLC,707.79,5/31/2025,Failed
88,462,"Foster, Williams and Baldwin",650.78,6/12/2025,Failed
89,191,Turner-Hood,884.42,1/4/2025,Failed
90,202,Barron-Newman,215.48,2/12/2025,Paid
91,417,Shepard-Santos,545.12,1/17/2025,Failed
92,1000,Randall-Contreras,24.67,5/16/2025,Failed
93,333,"Mcfarland, Edwards and Christensen",36.24,5/6/2025,Failed
94,234,Mcfarland PLC,778.53,2/18/2025,Failed
95,273,Murphy and Sons,805.83,3/12/2025,Paid
96,805,Clark Ltd,722.52,2/19/2025,Paid
97,308,Liu-Rangel,162.99,5/14/2025,Failed
98,799,Davis-Hebert,753.7,1/2/2025,Failed
99,267,"Daniel, Garcia and Campbell",629.79,3/25/2025,Failed
100,286,"Brock, Reynolds and Moore",844.66,6/7/2025,Paid
101,118,"Jimenez, Smith and Lester",922.41,4/2/2025,Paid
102,110,Rivera Group,853.78,1/6/2025,Paid
103,518,Harper-Murray,554.78,5/8/2025,Failed
104,626,Lee-Lawrence,895.78,2/28/2025,Paid
105,220,"Mckinney, Berger and Park",960.2,4/21/2025,Paid
106,379,"Smith, Moore and Garcia",459.33,4/13/2025,Failed
107,216,Anderson-Stanley,538.1,4/23/2025,Paid
108,104,"Burns, Wallace and Mendez",107.37,5/11/2025,Failed
109,39,Vargas-Gardner,857.99,5/21/2025,Failed
110,470,Sanchez-Jordan,382.04,4/26/2025,Paid
111,659,Anderson-Reyes,110.66,6/12/2025,Failed
112,294,"White, Delgado and Gonzalez",844.73,3/24/2025,Paid
113,394,Gallagher-Williams,203.63,6/17/2025,Failed
114,931,Garcia and Sons,336.87,3/12/2025,Failed
115,167,"Silva, Lawson and Baxter",23.18,4/15/2025,Paid
116,985,"Ford, Morris and Moss",140.97,3/25/2025,Paid
117,350,Sanchez Group,714.87,3/15/2025,Failed
118,638,Flores-Castro,715.01,5/27/2025,Paid
119,148,Gillespie-Shah,670.34,3/23/2025,Failed
120,5,"Silva, Henry and Taylor",500.39,1/24/2025,Paid
121,769,"Hayden, Taylor and Melton",455.93,3/21/2025,Failed
122,235,"Nelson, Kelly and Reed",290.67,3/1/2025,Failed
123,935,Garcia-Johnson,80.82,2/6/2025,Failed
124,854,Perez Inc,927.66,6/7/2025,Failed
125,702,Roman Ltd,68.6,2/13/2025,Paid
126,428,"Burch, King and Blair",69.71,2/11/2025,Paid
127,949,Anderson and Sons,579.27,5/2/2025,Paid
128,53,Olson Group,452.67,6/16/2025,Failed
129,111,Riley-Estrada,403.36,4/24/2025,Failed
130,137,Thornton-Johnson,93.07,1/4/2025,Paid
131,758,Hernandez LLC,193.77,6/4/2025,Paid
132,170,"Davis, Mason and Franklin",305.24,3/24/2025,Paid
133,500,Logan-Matthews,351.19,4/9/2025,Paid
134,393,Spears-Higgins,524.3,3/29/2025,Failed
135,447,"Lin, Davis and Patterson",268.03,5/23/2025,Paid
136,542,Miranda-Robinson,737.29,3/1/2025,Failed
137,277,"Turner, Roberts and Hernandez",139.41,5/21/2025,Paid
138,691,Bernard Group,213.12,6/8/2025,Failed
139,369,Mccarthy-Delgado,736.2,4/27/2025,Paid
140,144,Miller Group,527.53,6/10/2025,Paid
141,337,Coleman Inc,906.7,4/6/2025,Failed
142,566,Heath and Sons,134.24,6/18/2025,Paid
143,683,"Mack, Dominguez and Roberts",385.75,4/7/2025,Failed
144,562,Wilkinson-Paul,187.03,2/14/2025,Paid
145,721,"Frazier, Rodriguez and Nelson",342.61,5/5/2025,Failed
146,607,"Collier, Lewis and Garcia",194.72,5/1/2025,Paid
