PaymentID,CustomerID,BillerName,Amount,Date,Status
1,1,Beeline,482.13,2025-04-13,Pending
2,1,UzGas,311.21,2025-01-24,Pending
3,1,WaterSupply,14.0,2025-04-04,Paid
4,2,Beeline,323.72,2024-01-19,Pending
5,2,Netflix,283.85,2024-11-23,Failed
6,3,Internet,435.32,2024-06-21,Pending
7,6,Netflix,326.89,2023-09-15,Paid
8,6,OnlineTV,403.35,2025-01-13,Pending
9,6,Internet,130.55,2024-01-25,Failed
10,7,UzGas,424.4,2025-04-03,Failed
11,7,UzElectric,477.63,2024-08-01,Paid
12,7,Internet,404.96,2024-02-11,Pending
13,8,Internet,337.23,2025-03-08,Pending
14,8,Internet,458.3,2024-08-25,Failed
15,9,UzElectric,280.51,2024-07-22,Failed
16,10,Beeline,410.0,2024-05-18,Failed
17,10,Ucell,129.38,2024-06-30,Pending
18,10,WaterSupply,346.99,2023-08-14,Pending
19,11,Internet,36.01,2024-07-20,Failed
20,13,WaterSupply,268.09,2023-08-05,Pending
21,14,Internet,318.35,2023-11-23,Pending
22,15,WaterSupply,57.58,2024-12-26,Paid
23,18,OnlineTV,343.14,2024-10-08,Failed
24,18,Spotify,469.94,2025-05-28,Pending
25,18,Netflix,72.26,2024-11-19,Paid
26,19,Ucell,356.99,2025-01-13,Paid
27,19,Spotify,29.7,2024-11-07,Pending
28,20,WaterSupply,5.52,2024-03-14,Paid
29,21,OnlineTV,10.53,2025-03-07,Pending
30,21,Spotify,115.48,2025-01-19,Pending
31,21,UzGas,419.22,2025-04-04,Failed
32,22,OnlineTV,464.54,2024-06-14,Failed
33,24,Ucell,266.34,2024-11-26,Paid
34,24,UzElectric,97.85,2023-11-12,Paid
35,24,Spotify,477.03,2023-12-07,Pending
36,25,Netflix,233.79,2023-07-25,Paid
37,26,Internet,207.89,2024-04-23,Failed
38,27,UzGas,200.28,2024-06-09,Paid
39,27,WaterSupply,432.24,2025-05-09,Pending
40,30,OnlineTV,27.62,2023-07-25,Paid
41,30,WaterSupply,471.92,2025-06-17,Pending
42,31,Netflix,265.77,2023-09-14,Paid
43,31,OnlineTV,123.05,2023-07-08,Paid
44,34,UzGas,174.54,2023-10-12,Paid
45,35,UzGas,375.83,2024-11-02,Paid
46,35,Spotify,50.56,2024-12-19,Pending
47,35,UzGas,70.47,2025-03-24,Failed
48,37,Ucell,257.32,2024-08-16,Pending
49,37,UzElectric,448.09,2024-11-27,Failed
50,38,Ucell,263.19,2023-09-02,Paid
51,38,UzElectric,274.83,2024-12-27,Pending
52,39,Netflix,197.09,2024-08-24,Failed
53,39,Netflix,157.64,2025-06-21,Failed
54,39,UzElectric,85.82,2024-09-10,Failed
55,40,Netflix,386.73,2023-07-11,Paid
56,40,WaterSupply,42.14,2024-08-07,Pending
57,40,Netflix,405.9,2024-08-19,Pending
58,41,Beeline,319.73,2024-03-29,Pending
59,41,UzElectric,385.46,2023-12-31,Pending
60,42,Netflix,21.22,2023-07-27,Failed
61,42,WaterSupply,137.54,2024-07-18,Paid
62,43,Internet,179.3,2024-08-31,Paid
63,43,Internet,370.77,2024-12-10,Pending
64,44,Netflix,41.69,2023-08-02,Failed
65,44,Internet,217.52,2025-02-25,Failed
66,47,Netflix,491.19,2023-07-27,Failed
67,48,Spotify,285.1,2024-04-13,Paid
68,49,UzElectric,158.42,2024-01-19,Pending
69,50,WaterSupply,441.49,2024-03-21,Pending
70,50,UzElectric,492.98,2024-12-10,Paid
71,52,OnlineTV,75.21,2023-09-17,Failed
72,52,Ucell,280.22,2025-04-17,Pending
73,52,WaterSupply,442.44,2024-05-18,Pending
74,53,Beeline,427.76,2024-09-02,Failed
75,54,Beeline,414.93,2024-03-12,Paid
76,54,WaterSupply,125.4,2024-08-06,Pending
77,54,Spotify,343.16,2024-03-31,Pending
78,56,UzElectric,485.23,2024-10-03,Pending
79,56,UzElectric,494.65,2025-04-11,Pending
80,56,WaterSupply,202.1,2025-05-28,Failed
81,57,Spotify,119.47,2025-02-01,Paid
82,61,Ucell,208.72,2023-10-13,Paid
83,61,Spotify,483.56,2023-12-09,Failed
84,62,Ucell,66.29,2024-02-17,Pending
85,62,WaterSupply,277.6,2024-09-03,Failed
86,63,Beeline,437.99,2024-12-30,Pending
87,63,Netflix,398.33,2025-02-18,Failed
88,63,Netflix,115.4,2025-04-22,Paid
89,64,WaterSupply,291.44,2025-02-04,Failed
90,64,UzElectric,405.08,2024-09-04,Paid
91,64,Spotify,21.8,2024-06-30,Pending
92,65,WaterSupply,69.12,2024-09-15,Failed
93,65,UzGas,194.45,2025-05-12,Pending
94,65,OnlineTV,482.18,2024-08-05,Pending
95,66,WaterSupply,296.35,2023-12-29,Failed
96,66,Beeline,458.94,2023-07-05,Failed
97,68,WaterSupply,320.19,2023-09-23,Pending
98,68,Beeline,482.75,2023-07-31,Pending
99,68,UzGas,7.51,2025-02-14,Pending
100,69,Spotify,307.35,2024-09-16,Paid
101,70,Internet,149.23,2023-12-14,Pending
102,71,OnlineTV,26.75,2024-09-19,Failed
103,71,UzGas,441.37,2025-05-04,Pending
104,72,Beeline,22.88,2024-02-10,Failed
105,72,UzElectric,10.81,2023-07-15,Pending
106,75,WaterSupply,17.6,2023-11-29,Failed
107,76,Netflix,136.02,2023-07-26,Failed
108,76,Ucell,63.62,2025-05-29,Failed
109,76,UzElectric,319.41,2023-10-28,Paid
110,77,UzElectric,240.4,2024-01-15,Paid
111,77,WaterSupply,164.79,2024-06-01,Pending
112,77,UzGas,155.06,2024-08-22,Paid
113,78,Beeline,250.99,2024-03-11,Failed
114,78,Netflix,148.23,2023-11-14,Pending
115,78,WaterSupply,127.19,2024-11-18,Pending
116,79,UzElectric,297.52,2023-10-08,Failed
117,79,UzElectric,123.86,2024-08-23,Pending
118,80,UzElectric,303.75,2025-01-20,Pending
119,81,WaterSupply,151.92,2025-01-16,Paid
120,83,Spotify,247.21,2024-02-27,Paid
121,83,Beeline,261.47,2024-10-30,Failed
122,83,UzElectric,358.0,2024-04-16,Pending
123,84,UzGas,300.55,2024-05-15,Failed
124,85,Netflix,203.64,2025-03-03,Paid
125,85,Internet,104.01,2023-09-20,Pending
126,85,Spotify,96.98,2023-10-18,Pending
127,86,Ucell,58.13,2024-05-18,Pending
128,87,Beeline,94.04,2024-11-28,Pending
129,88,Spotify,259.56,2023-10-08,Pending
130,88,UzGas,460.6,2024-02-10,Failed
131,90,OnlineTV,43.21,2024-12-05,Failed
132,90,Ucell,104.67,2024-12-07,Pending
133,91,Spotify,497.22,2023-07-23,Pending
134,91,Ucell,183.8,2024-03-31,Failed
135,92,UzGas,204.68,2024-04-23,Paid
136,93,WaterSupply,38.81,2024-06-21,Failed
137,94,Netflix,204.81,2024-10-05,Failed
138,94,Beeline,398.05,2025-04-21,Failed
139,95,WaterSupply,129.9,2023-07-21,Failed
140,95,UzGas,485.79,2024-03-15,Pending
141,96,OnlineTV,79.59,2024-12-21,Failed
142,97,Beeline,102.63,2023-08-20,Paid
143,99,Internet,471.84,2024-01-28,Pending
144,100,Spotify,256.27,2025-04-20,Pending
145,100,Spotify,159.18,2024-03-23,Pending
146,100,WaterSupply,156.34,2024-04-16,Paid
147,101,OnlineTV,448.48,2024-10-30,Failed
148,101,Netflix,217.95,2023-07-02,Pending
149,101,Beeline,135.33,2023-12-05,Failed
150,102,Spotify,37.91,2025-03-08,Pending
151,102,Netflix,433.21,2025-06-02,Pending
152,103,UzElectric,76.56,2024-01-06,Failed
153,103,Netflix,219.4,2023-08-12,Failed
154,103,Spotify,36.55,2025-03-01,Paid
155,104,Ucell,122.06,2023-07-12,Failed
156,105,UzGas,205.25,2024-07-11,Pending
157,105,WaterSupply,308.56,2024-11-18,Pending
158,106,Beeline,498.2,2024-02-23,Failed
159,107,Ucell,459.75,2024-07-27,Pending
160,107,Internet,203.81,2025-03-24,Paid
161,107,Ucell,83.58,2025-03-26,Failed
162,109,UzGas,22.07,2025-06-04,Pending
163,109,Beeline,416.02,2024-05-13,Failed
164,111,Ucell,237.34,2024-04-30,Pending
165,111,Netflix,288.43,2023-08-25,Paid
166,111,Internet,304.25,2025-05-03,Paid
167,114,UzGas,323.05,2024-03-11,Failed
168,114,Ucell,271.16,2023-09-10,Pending
169,114,Netflix,429.54,2024-04-10,Paid
170,115,OnlineTV,21.19,2024-11-07,Pending
171,116,Internet,310.71,2025-03-21,Paid
172,116,Beeline,74.08,2025-06-04,Failed
173,116,Internet,188.44,2024-10-01,Pending
174,117,WaterSupply,373.26,2023-08-22,Pending
175,117,Internet,208.75,2024-07-10,Paid
176,118,UzElectric,485.85,2024-12-07,Paid
177,119,UzGas,390.39,2023-09-24,Pending
178,120,Internet,156.12,2024-08-29,Failed
179,120,UzElectric,82.46,2025-04-15,Paid
180,120,Netflix,87.67,2025-02-25,Failed
181,123,Spotify,252.93,2024-08-18,Paid
182,124,OnlineTV,194.67,2025-02-12,Pending
183,124,UzGas,413.54,2023-09-14,Paid
184,124,OnlineTV,461.59,2024-05-08,Failed
185,126,WaterSupply,210.5,2023-07-01,Pending
186,126,OnlineTV,256.76,2025-03-10,Failed
187,127,Spotify,162.68,2024-12-19,Paid
188,128,OnlineTV,152.07,2023-10-11,Pending
189,128,UzElectric,428.23,2025-02-12,Pending
190,128,Spotify,37.31,2024-02-12,Paid
191,130,Spotify,308.8,2023-06-27,Paid
192,130,WaterSupply,375.19,2024-05-21,Failed
193,131,UzElectric,288.85,2025-02-23,Pending
194,132,Ucell,363.52,2024-01-09,Pending
195,132,UzElectric,407.18,2023-07-29,Failed
196,135,Ucell,292.48,2023-11-08,Failed
197,135,Netflix,26.28,2024-11-03,Failed
198,137,WaterSupply,385.55,2025-04-07,Pending
199,138,UzGas,231.57,2024-04-21,Pending
200,138,Ucell,344.78,2024-07-05,Paid
201,139,Netflix,49.16,2023-11-30,Pending
202,139,UzElectric,136.13,2024-06-03,Failed
203,141,WaterSupply,199.15,2024-02-21,Pending
204,142,Ucell,106.36,2025-02-07,Paid
205,143,Beeline,125.62,2024-12-31,Pending
206,144,Netflix,55.7,2024-11-17,Paid
207,144,Internet,362.62,2024-11-22,Paid
208,144,OnlineTV,287.17,2024-11-12,Failed
209,145,Internet,220.27,2024-10-03,Paid
210,145,Ucell,82.3,2025-02-15,Failed
211,145,UzElectric,276.95,2024-12-26,Failed
212,146,Beeline,5.07,2023-08-10,Pending
213,146,Beeline,402.6,2024-08-08,Failed
214,148,UzElectric,349.8,2023-07-08,Pending
215,148,OnlineTV,38.56,2024-08-12,Paid
216,148,UzElectric,161.64,2025-05-08,Failed
217,150,Beeline,62.43,2024-09-25,Pending
218,150,Internet,423.43,2025-04-23,Paid
219,152,Spotify,350.94,2023-08-15,Failed
