BranchID,BranchName,Address,City,State,Country,ManagerID,ContactNumber
1,East Jeff Branch,"4217 Harry Junction, Barbaraville, GU 52309",South Michael,Oklahoma,Congo,212,(285)704-6198
2,New Jesse Branch,"USCGC Romero, FPO AP 17611",Reynoldsbury,Vermont,Malawi,80,+1-244-585-2795x792
3,Frankhaven Branch,"62188 David Fort Apt. 285, Curtistown, HI 90150",Williamstown,Virginia,Senegal,129,(559)231-0255x670
4,Andersonstad Branch,"1239 Williams Club, North Patrick, MS 81854",Englishport,Wisconsin,Saint Barthelemy,156,817-407-0304x6377
5,Nathanmouth Branch,"804 Osborn Cliff Suite 899, New Melissamouth, MP 66408",West Christyfurt,West Virginia,Trinidad and Tobago,40,988.979.0387x832
6,Port Ralphmouth Branch,"7752 Miranda Grove, New Benjamin, PW 30943",East Megan,Illinois,British Indian Ocean Territory (Chagos Archipelago),126,214.496.0601x353
7,Richardtown Branch,"098 Amy Village, Port Michaelbury, NE 38238",Singhborough,Missouri,Bahrain,291,+1-935-364-5565x459
8,South Amyshire Branch,"38671 Molly Mountains, Bennettburgh, VT 02045",Penafort,Hawaii,Russian Federation,125,+1-888-329-0081x18270
9,Tonyton Branch,"04476 Paul Falls Suite 328, Jonathonshire, PA 25647",West Aaronmouth,Massachusetts,Comoros,184,9547155198
10,Woodsburgh Branch,"751 Hughes Squares Apt. 159, New Rhondaland, AS 12512",Emilyborough,Indiana,Mongolia,257,001-232-487-5825x9885
11,Port James Branch,"05242 Snyder Camp Apt. 995, Lake Alyssa, MA 55331",Hallland,Missouri,Congo,180,855-844-7156x4534
12,Lake Brianside Branch,"317 Dudley Plain, Brewertown, NE 28781",Johnview,Indiana,Burundi,219,(383)303-1114x6617
13,South Kevin Branch,"Unit 3226 Box 1815, DPO AA 99281",Moorechester,Florida,Singapore,130,001-896-770-6129
14,New John Branch,"4869 Jean Mission Suite 102, Melissaville, NE 62246",West Carriefort,Minnesota,Bermuda,153,+1-992-558-1248x638
15,Lake Dennis Branch,"1464 Jeff Trail, Campbellmouth, AL 23666",East Amy,New York,Grenada,274,618.490.1758x28211
16,Luisville Branch,"8154 Erin Ranch, Warrenland, CO 24818",Reginaport,Tennessee,Cote d'Ivoire,103,+1-475-454-0807x386
17,East Jill Branch,"022 Michelle Tunnel, Danielfurt, AS 96806",South Jessicaport,Virginia,United Kingdom,183,(324)279-6840x432
18,Lake Nicole Branch,"696 Michael Spurs Apt. 338, New Frank, AS 26241",Alexandriachester,Connecticut,Benin,3,510-979-6690x711
19,East Maryburgh Branch,"38025 Christina Hollow, South Sonyamouth, MP 32988",North Yolanda,Delaware,Austria,236,6405749470
20,Martinezshire Branch,"301 Thomas Highway Suite 080, Kimberg, OH 87715",Reneetown,Mississippi,Colombia,28,+1-542-901-4182x2071
