ClaimID,PolicyID,ClaimAmount,Status,FiledDate
1,265,9121.81,Rejected,10/7/2024
2,28,3422,Rejected,9/22/2024
3,262,9644.85,Filed,9/22/2023
4,349,9671.21,Rejected,11/1/2023
5,133,18249.46,Filed,9/12/2024
6,171,5301.22,Filed,7/27/2024
7,273,12909.3,Approved,11/11/2023
8,170,11377.71,Filed,9/6/2024
9,96,10629.91,Rejected,6/26/2023
10,241,8415.06,Filed,6/26/2023
11,229,3980.88,Approved,2/2/2025
12,454,8928.91,Filed,1/16/2024
13,126,17674.33,Filed,5/27/2025
14,1,15488.54,Rejected,1/2/2024
15,483,16123.72,Filed,6/16/2025
16,412,11034.62,Filed,4/28/2025
17,431,5476.47,Filed,11/14/2024
18,245,2641.86,Rejected,10/21/2023
19,138,13759,Rejected,2/3/2025
20,290,9453.11,Approved,10/30/2023
21,8,17054.25,Filed,12/15/2024
22,310,10058.08,Approved,5/13/2025
23,137,19023.26,Approved,1/6/2024
24,26,16235.1,Rejected,1/11/2025
25,243,13540.18,Filed,8/11/2023
26,328,4298.98,Approved,2/4/2025
27,118,16196.5,Approved,4/14/2024
28,55,2842.33,Approved,2/3/2025
29,321,7353.3,Approved,5/31/2025
30,323,1571.93,Filed,3/14/2025
31,486,9346.12,Rejected,5/6/2024
32,373,4505.6,Filed,7/25/2024
33,186,11496.8,Filed,3/23/2024
34,118,18567.63,Rejected,11/20/2023
35,499,13389.12,Filed,12/17/2023
36,305,7664.24,Filed,12/31/2023
37,39,15599.89,Rejected,11/12/2023
38,318,7142.41,Rejected,10/8/2023
39,430,16377.78,Approved,11/19/2023
40,412,3420.9,Filed,2/17/2024
41,135,7220.92,Filed,7/17/2024
42,426,16478.6,Rejected,12/6/2023
43,217,1553.91,Approved,8/19/2024
44,402,2424.22,Rejected,8/14/2023
45,440,5120.25,Approved,3/4/2024
46,197,16347.97,Filed,9/22/2024
47,337,17611.18,Filed,9/7/2024
48,197,15489.9,Approved,2/23/2025
49,28,18661.74,Rejected,1/17/2024
