ClaimID,PolicyID,ClaimAmount,Status,FiledDate
1,140,4715.28,Settled,2024-04-01
2,293,2597.96,UnderReview,2024-03-26
3,33,2537.03,Filed,2023-06-24
4,33,4925.56,Settled,2024-03-26
5,123,2739.76,Filed,2024-04-16
6,110,1334.2,Rejected,2024-08-13
7,243,3344.11,Rejected,2023-08-20
8,243,996.42,Filed,2025-03-09
9,32,3126.57,Filed,2024-08-18
10,300,4876.15,Settled,2025-05-04
11,300,4985.9,Settled,2024-10-18
12,129,256.54,Approved,2023-10-21
13,71,1458.5,Approved,2024-01-28
14,71,1908.58,Rejected,2024-04-26
15,195,4618.61,UnderReview,2024-12-05
16,195,4896.12,Filed,2024-10-06
17,1,3876.94,Settled,2024-05-13
18,161,2242.14,Settled,2024-10-01
19,113,4616.61,Rejected,2023-10-23
20,113,2658.5,Filed,2024-05-09
21,72,4327.17,Approved,2024-06-18
22,72,1943.94,Filed,2024-10-30
23,40,4359.9,Filed,2024-04-10
24,292,1460.23,UnderReview,2023-12-27
25,19,4458.68,Settled,2023-11-24
26,19,1230.77,Approved,2024-12-21
27,261,3261.89,Rejected,2025-06-04
28,52,1371.67,Settled,2024-03-17
29,79,2896.55,Settled,2024-02-25
30,69,1240.37,Approved,2023-08-03
31,81,3137.01,Approved,2023-11-22
32,81,2849.3,Settled,2024-03-23
33,39,370.57,Filed,2024-11-20
34,39,1106.41,Settled,2024-08-08
35,135,3920.74,Approved,2024-12-13
36,135,1630.71,Settled,2024-12-19
37,201,2905.73,Approved,2023-10-04
38,192,672.68,Approved,2024-12-28
39,163,2529.75,Approved,2024-12-31
40,163,2168.16,Settled,2025-04-11
41,262,4998.56,Rejected,2025-01-23
42,235,1875.27,Filed,2024-07-13
43,235,4060.09,Filed,2024-02-02
44,267,1345.48,Settled,2023-08-23
45,253,2685.77,Filed,2024-10-26
46,78,1739.06,Settled,2023-07-30
47,232,3541.15,UnderReview,2024-11-19
48,232,3693.52,Filed,2023-08-13
49,87,530.84,Filed,2024-11-20
50,87,4974.39,Approved,2023-10-18
51,189,3437.16,UnderReview,2024-06-16
52,189,1092.68,Rejected,2024-01-28
53,181,2906.65,UnderReview,2024-03-18
54,181,2798.8,Settled,2024-04-28
55,92,4009.27,Filed,2023-09-14
