TransactionID,CardID,Merchant,Amount,Currency,Date,Status
1,113,"Curry, Mccormick and Fernandez",719.26,HRK,7/25/2022 6:20,Approved
2,432,"Stokes, Bryant and Thompson",3830.75,EUR,2/13/2025 0:12,Declined
3,729,Adkins-Ortega,2463.49,HRK,5/30/2023 6:01,Approved
4,758,"Greene, Lopez and Snyder",1601.29,USD,5/1/2024 21:00,Declined
5,599,"Taylor, Baird and Barron",3889.24,EUR,12/1/2022 11:00,Declined
6,142,Johnson PLC,369.38,HRK,10/2/2023 21:55,Approved
7,309,"Ruiz, Crawford and Owens",2188.25,HRK,8/7/2024 18:31,Declined
8,5,Bailey-Mcgrath,934.3,USD,12/18/2022 11:42,Declined
9,506,Dodson-Li,2310.04,HRK,2/27/2023 2:45,Approved
10,294,Ruiz Ltd,4553.99,EUR,1/24/2025 14:30,Declined
11,141,Wilson LLC,1871.03,HRK,12/10/2023 8:51,Declined
12,715,Hoffman Ltd,3278.92,EUR,10/8/2023 14:30,Approved
13,209,"Smith, Manning and Clayton",1154.74,HRK,3/10/2025 15:23,Approved
14,96,Rodriguez LLC,1466.56,HRK,12/18/2023 6:53,Approved
15,793,Jones-Pace,1218.86,EUR,3/6/2024 15:04,Approved
16,711,Lee Ltd,285.22,HRK,3/14/2024 2:35,Declined
17,325,"Fisher, Ross and Foster",324.84,EUR,12/21/2023 12:15,Declined
18,410,"Jones, Simpson and Rice",3830.86,EUR,5/27/2023 23:22,Approved
19,405,Duncan-Frank,989.67,HRK,8/12/2024 11:26,Approved
20,688,Rogers-Villa,707.42,HRK,9/29/2022 21:20,Declined
21,206,"West, Douglas and Fuller",26.7,USD,11/30/2023 18:08,Approved
22,156,Calderon Group,140.2,USD,6/29/2023 9:03,Declined
23,516,Sullivan Group,4590.94,USD,2/16/2023 0:37,Declined
24,260,Jones-Johnson,3867.31,HRK,10/8/2023 2:04,Approved
25,210,Murray-Burgess,4964.29,USD,1/28/2025 15:48,Declined
26,463,"Hart, Baker and Robinson",3380.1,EUR,11/13/2023 1:46,Approved
27,522,"Reynolds, Ward and Marks",836.1,HRK,5/16/2025 8:24,Declined
28,511,Anderson Group,3620.29,HRK,3/9/2024 6:35,Approved
29,715,Travis-Jones,1038.19,USD,5/29/2024 11:05,Declined
30,656,Henderson Group,3387.51,HRK,1/8/2023 21:58,Declined
31,446,West Ltd,4384.16,HRK,4/27/2024 4:19,Approved
32,25,"Taylor, Peterson and Carter",2813.64,EUR,8/3/2023 6:14,Declined
33,287,"Reynolds, Romero and Mullins",2843.45,USD,4/26/2025 2:38,Approved
34,193,Taylor-Mooney,732.13,HRK,4/7/2023 10:09,Declined
35,782,Madden LLC,4336.49,HRK,5/25/2024 20:30,Approved
36,384,Scott Ltd,254.34,HRK,6/9/2024 22:07,Approved
37,80,White Ltd,545.86,EUR,11/20/2024 9:55,Declined
38,401,"Newman, Lee and Whitehead",553.07,EUR,9/24/2024 0:43,Approved
39,554,"Mclaughlin, Reyes and Jones",4389.49,USD,2/15/2024 15:28,Approved
40,293,Torres Group,1280.13,USD,10/10/2024 20:44,Approved
41,289,Green-Jones,311.87,USD,12/12/2024 9:56,Approved
42,357,"Lindsey, Smith and Rush",2031.31,HRK,12/10/2022 7:29,Declined
43,78,"Martinez, Simpson and Hudson",3437.08,EUR,2/7/2023 17:11,Approved
44,535,Todd-Smith,3173.36,USD,12/7/2022 6:53,Declined
45,528,Padilla PLC,3230.4,EUR,3/26/2024 12:00,Declined
46,470,"Edwards, Harris and Sandoval",1602,HRK,4/9/2025 11:20,Approved
47,202,Arias and Sons,215.1,HRK,6/3/2025 21:33,Approved
48,106,Cervantes Group,4611.26,HRK,10/21/2022 14:19,Declined
49,391,Gregory-Walton,1412.75,USD,7/16/2023 5:22,Declined
50,462,Murray PLC,2746.83,USD,12/25/2022 10:54,Approved
51,623,Johnson LLC,190.82,EUR,9/1/2024 10:28,Approved
52,415,Harding-Obrien,4487.8,HRK,12/14/2022 21:51,Approved
53,496,"Frederick, Richardson and Hunter",3510.13,EUR,7/1/2024 23:37,Approved
54,110,Martin LLC,1832.24,EUR,1/29/2024 5:02,Declined
55,530,"Spears, Jones and Hudson",4888.94,USD,7/31/2023 9:48,Approved
56,583,Mills-Smith,2858.57,EUR,7/7/2022 14:16,Declined
57,365,Evans Ltd,2897.82,HRK,9/21/2024 10:16,Approved
58,680,Stewart Inc,1000.04,EUR,9/3/2024 14:57,Approved
59,488,Duarte-Baker,4349.58,HRK,5/23/2024 5:24,Declined
60,29,Garza-Saunders,1667.53,HRK,8/17/2022 18:35,Approved
61,384,Hayden-Vasquez,952.01,EUR,12/5/2022 2:08,Approved
62,603,"Stephens, Rodgers and Jenkins",1742.15,EUR,4/27/2025 11:30,Declined
63,723,Kirby and Sons,754.01,EUR,7/18/2023 11:32,Approved
64,374,"Scott, Tapia and Rodriguez",4759.52,USD,4/17/2025 13:16,Approved
65,290,Pope Ltd,800.32,EUR,7/25/2024 1:09,Approved
66,97,"Hampton, Welch and Burton",2343.28,HRK,11/28/2022 11:43,Declined
67,344,"Carr, Kirk and Robinson",2799.99,USD,12/14/2024 17:48,Declined
68,553,"Adams, Rose and Robinson",4072.85,EUR,5/24/2023 13:55,Declined
69,562,Fisher-Frey,2426.96,USD,10/21/2022 11:17,Approved
70,796,Porter Inc,1015.96,USD,11/4/2024 14:10,Declined
71,210,Olson PLC,792.16,EUR,4/28/2025 23:45,Approved
72,491,Olsen-Wright,3770.98,EUR,10/26/2023 16:56,Approved
73,262,"Harris, Ball and Little",1586.7,HRK,12/24/2024 12:53,Declined
74,757,Gonzalez PLC,3552.05,USD,6/6/2023 11:29,Declined
75,129,Torres-Ballard,4374.57,EUR,6/4/2025 23:44,Declined
76,437,Ross Ltd,536.94,USD,3/22/2024 19:36,Approved
77,558,"Murphy, Harris and Downs",2338.24,USD,7/27/2022 7:21,Approved
78,549,Webb-Ritter,4580.91,EUR,7/4/2024 14:59,Approved
79,740,Anderson PLC,4212.64,HRK,9/3/2023 9:34,Declined
80,784,Lindsey-Macdonald,4144.11,HRK,12/19/2024 12:39,Approved
81,496,Price LLC,3967.82,EUR,10/30/2022 2:43,Declined
82,765,"Brooks, Perez and Nichols",4750.88,USD,9/26/2023 19:44,Approved
83,779,Mcdowell LLC,2508.81,USD,11/29/2022 14:04,Declined
84,132,Weber LLC,3468,EUR,4/4/2025 14:47,Declined
85,204,White Ltd,10.48,HRK,5/28/2024 19:16,Approved
86,9,"Clark, Peters and Trujillo",2215.71,USD,6/23/2023 6:51,Approved
87,75,Watson-Olsen,245.01,USD,5/13/2025 22:43,Declined
88,145,"Joyce, Hernandez and Serrano",971.34,HRK,6/20/2024 10:23,Declined
89,501,"Hess, Thompson and Smith",1086.95,HRK,7/25/2022 6:12,Approved
90,358,Campos-Potter,3695.6,EUR,8/22/2022 18:01,Declined
91,481,Morales-Williams,474.21,HRK,6/19/2023 16:20,Declined
92,124,"Rodriguez, Rodriguez and Shaw",3390.89,HRK,6/12/2025 6:05,Declined
93,111,Pace-Mendoza,1884.11,HRK,10/5/2022 1:32,Declined
94,359,"Cole, Kline and Esparza",3860.54,EUR,6/8/2025 1:45,Declined
95,417,"Harris, James and Reeves",1483.5,HRK,12/12/2023 8:30,Declined
96,537,Wallace-Hall,4274.2,USD,6/25/2022 18:03,Declined
97,798,"Weber, Mccoy and Gilmore",1333.74,USD,10/4/2024 1:24,Declined
98,156,Rose-Powell,811.58,EUR,6/20/2024 20:50,Approved
99,691,"Hammond, Campbell and Osborn",1902.41,HRK,5/25/2023 10:20,Declined
100,201,Kerr-Black,3902.75,HRK,4/16/2024 13:05,Approved
101,712,"Thompson, Watson and Byrd",915.58,USD,4/6/2025 13:01,Approved
102,779,Warner-Perez,1295.57,HRK,12/3/2022 8:56,Approved
103,470,"Young, Jimenez and Jenkins",111.15,HRK,7/20/2023 17:41,Declined
104,490,James Ltd,3360.45,EUR,1/28/2025 18:27,Approved
105,781,"Fox, York and Morton",574.52,EUR,5/20/2024 3:43,Approved
106,85,Herrera-Woods,4539.83,EUR,10/19/2023 11:52,Approved
107,764,"Davidson, Cox and Santiago",3511.98,USD,3/19/2024 3:24,Approved
108,407,Jordan Inc,3545.65,USD,2/7/2023 2:14,Declined
109,10,Brown-Mora,158.5,USD,1/29/2025 13:52,Approved
110,411,"Cole, Bell and Thompson",1746.5,HRK,9/25/2024 17:05,Approved
111,686,"Moore, Miller and Bailey",1311.96,EUR,1/11/2023 20:31,Declined
112,613,"Morrison, Rodriguez and Valenzuela",2281.29,HRK,3/29/2023 18:57,Approved
113,226,"Dominguez, Fry and Allen",1596.63,HRK,4/24/2023 22:53,Approved
114,367,"Smith, Pierce and Schultz",2462.52,USD,9/15/2023 20:04,Approved
115,111,"Lang, Nelson and Davies",1422.02,EUR,8/18/2022 17:17,Declined
116,584,Howard-Thornton,460.99,EUR,7/16/2023 4:20,Declined
117,249,Norris and Sons,4851.64,HRK,5/3/2024 1:12,Declined
118,649,Morgan-Russell,1939.76,EUR,5/6/2023 7:18,Approved
119,160,Smith Group,119.61,USD,9/29/2022 9:59,Approved
120,507,Wheeler Inc,3464.9,HRK,1/2/2025 0:10,Declined
121,434,Hicks and Sons,1827.51,HRK,8/19/2023 21:22,Approved
122,318,"Lambert, Brown and Braun",1967.26,EUR,10/22/2023 14:19,Declined
123,607,"Macias, Friedman and Hendrix",4508.7,HRK,10/27/2022 11:11,Declined
124,686,Ellis and Sons,647.04,USD,6/8/2024 13:22,Approved
125,36,Horton Inc,3447.58,HRK,2/27/2024 7:25,Approved
126,22,"King, Richmond and Stuart",2732.79,HRK,6/12/2023 21:35,Approved
127,89,"Warner, Le and Copeland",1524.45,HRK,10/14/2024 21:41,Declined
128,18,"Griffin, Hanson and Johnson",1601.55,HRK,11/12/2024 22:07,Approved
129,573,Garcia Group,3829.62,EUR,11/29/2022 22:43,Approved
130,147,"Ali, Stanley and Fitzgerald",2480.06,USD,6/20/2024 7:40,Declined
131,668,"Walker, Dixon and Jimenez",1018.58,USD,2/24/2023 14:56,Approved
132,241,Castro-Hudson,1604.74,EUR,2/11/2023 18:26,Approved
133,391,Robinson PLC,2993.37,USD,12/23/2022 12:06,Approved
134,92,Santiago Inc,4535.84,USD,3/9/2025 23:31,Approved
