TransactionID,CardID,Merchant,Amount,Currency,Date,Status
1,974,Apple Store,3097.55,UZS,2024-07-06 03:32:06,Failed
2,588,AliExpress,1471.83,EUR,2024-12-07 10:25:38,Failed
3,443,Amazon,3744.08,UZS,2025-02-02 17:04:21,Failed
4,169,PayPal,292.15,EUR,2023-07-01 05:47:21,Failed
5,772,Walmart,1575.55,USD,2025-06-23 07:15:10,Failed
6,76,PayPal,2792.16,USD,2024-06-13 18:36:46,Completed
7,8,Google Pay,4750.35,GBP,2025-05-06 06:33:30,Failed
8,906,AliExpress,2963.12,UZS,2024-01-29 06:20:23,Pending
9,669,PayPal,4877.53,EUR,2024-10-29 16:18:18,Failed
10,384,eBay,618.58,GBP,2024-08-27 14:04:21,Failed
11,676,Netflix,79.01,USD,2025-06-07 10:15:27,Completed
12,129,Steam,25.2,GBP,2024-01-30 05:02:34,Completed
13,729,Walmart,4918.28,GBP,2024-04-29 10:01:04,Failed
14,76,Walmart,4681.52,UZS,2024-04-02 10:00:14,Pending
15,866,Google Pay,2263.66,USD,2025-05-22 21:20:02,Failed
16,269,Spotify,22.25,UZS,2023-07-17 23:13:36,Failed
17,199,Walmart,4609.2,USD,2025-05-09 14:47:17,Completed
18,85,Spotify,4396.41,UZS,2023-06-30 18:48:13,Pending
19,734,Apple Store,3223.81,GBP,2025-05-01 05:07:03,Completed
20,417,Amazon,4114.15,USD,2024-04-19 00:06:04,Failed
21,532,Walmart,4439.41,UZS,2024-04-12 15:02:39,Completed
22,572,Google Pay,1777.78,USD,2024-12-28 02:24:13,Failed
23,388,eBay,1408.95,EUR,2025-05-16 19:15:22,Completed
24,685,Spotify,4756.17,EUR,2024-04-03 06:39:52,Pending
25,24,Apple Store,86.77,GBP,2023-10-22 06:38:41,Completed
26,28,Walmart,330.5,EUR,2024-10-18 17:47:16,Completed
27,1017,Steam,4113.44,EUR,2025-06-05 12:12:08,Completed
28,738,eBay,707.3,GBP,2024-11-18 00:32:32,Pending
29,659,eBay,4060.36,UZS,2023-10-04 06:34:10,Pending
30,930,PayPal,2914.57,USD,2025-01-24 14:43:14,Completed
31,298,Apple Store,2825.48,GBP,2025-01-12 17:37:08,Completed
32,1036,Spotify,3340.25,EUR,2024-02-22 12:09:44,Completed
33,563,Steam,1519.01,UZS,2023-12-19 16:13:54,Completed
34,648,Apple Store,4521.39,EUR,2024-05-25 20:10:34,Failed
35,936,Apple Store,3370.2,USD,2025-01-18 11:59:41,Completed
36,970,Amazon,70.0,UZS,2025-03-04 08:46:43,Pending
37,694,Netflix,2065.65,UZS,2025-05-10 00:20:03,Failed
38,745,Walmart,1104.71,EUR,2025-05-06 07:58:20,Failed
39,871,eBay,1141.33,UZS,2024-04-11 16:00:53,Failed
40,287,Steam,2680.8,UZS,2024-06-08 12:15:17,Failed
41,59,PayPal,1351.76,GBP,2023-11-23 05:14:45,Pending
42,152,PayPal,1323.9,GBP,2023-11-19 00:00:41,Pending
43,262,Walmart,3555.32,EUR,2025-02-18 04:38:41,Failed
44,699,Netflix,166.31,GBP,2024-03-08 21:44:22,Completed
45,291,Amazon,3075.09,EUR,2024-01-17 13:55:47,Failed
46,57,Steam,1069.35,GBP,2025-06-10 01:26:00,Pending
47,549,Apple Store,3585.22,USD,2023-07-29 18:47:45,Completed
48,716,Apple Store,2702.15,EUR,2023-12-15 15:40:31,Failed
49,165,AliExpress,2410.28,EUR,2023-12-12 17:10:57,Completed
50,668,Steam,1564.47,GBP,2025-06-21 17:27:56,Pending
51,861,Apple Store,2501.46,EUR,2024-07-24 23:43:18,Completed
52,44,Spotify,3552.92,USD,2024-12-03 23:56:25,Failed
53,398,Google Pay,4098.77,GBP,2024-09-02 11:25:20,Failed
54,432,Steam,2509.18,EUR,2023-11-03 09:34:40,Pending
55,213,Amazon,1416.87,USD,2024-01-24 20:05:24,Completed
56,5,Steam,1236.01,GBP,2024-03-19 21:41:21,Pending
57,738,PayPal,4288.74,GBP,2023-09-22 13:25:42,Failed
58,580,Amazon,3926.66,EUR,2025-02-08 13:48:27,Failed
59,7,Netflix,4681.57,UZS,2025-01-23 07:01:22,Failed
60,125,PayPal,4045.64,GBP,2024-07-09 22:40:04,Completed
61,949,Spotify,3157.11,GBP,2023-12-10 21:32:05,Failed
62,338,Netflix,642.56,UZS,2024-11-24 20:43:06,Completed
63,303,Spotify,1841.31,UZS,2025-02-24 15:04:16,Failed
64,929,Google Pay,2215.86,USD,2024-04-21 04:57:43,Failed
65,742,eBay,1232.48,GBP,2024-12-08 10:40:41,Failed
66,927,Steam,4261.99,EUR,2024-06-05 02:59:06,Completed
67,47,Apple Store,900.67,USD,2023-07-15 01:50:26,Completed
68,178,Steam,3294.42,USD,2024-03-23 10:06:37,Failed
69,712,Steam,3429.77,EUR,2024-07-22 03:30:35,Completed
70,211,Steam,3557.31,EUR,2023-07-21 17:10:04,Completed
71,713,Spotify,2001.25,UZS,2025-01-18 08:19:10,Completed
72,106,Walmart,945.63,GBP,2023-09-17 10:42:41,Completed
73,169,Apple Store,14.47,USD,2023-12-17 01:58:12,Completed
74,713,AliExpress,4882.25,UZS,2024-10-31 20:42:03,Pending
75,355,Apple Store,3357.97,EUR,2024-05-27 10:19:33,Failed
76,549,PayPal,263.12,USD,2024-12-08 00:35:35,Failed
77,432,Walmart,4115.96,USD,2024-09-02 22:08:14,Pending
78,379,AliExpress,2337.29,EUR,2024-02-29 20:44:02,Completed
79,84,Google Pay,2214.68,GBP,2024-02-18 19:38:43,Completed
80,663,Spotify,3466.6,USD,2023-11-28 01:52:57,Pending
81,285,Spotify,834.47,USD,2023-08-24 21:14:00,Pending
82,286,Steam,218.59,EUR,2024-03-20 12:18:04,Pending
83,415,eBay,2356.43,USD,2024-02-26 03:56:23,Completed
84,594,Google Pay,4689.14,EUR,2024-05-20 01:27:55,Completed
85,986,Amazon,923.27,UZS,2024-04-20 04:44:10,Completed
86,888,Spotify,1722.68,GBP,2023-08-22 07:53:29,Failed
87,902,PayPal,3331.05,UZS,2023-06-25 15:00:47,Failed
88,264,AliExpress,2830.67,UZS,2024-04-26 01:51:01,Pending
89,530,AliExpress,1826.36,EUR,2023-07-24 08:38:16,Completed
90,814,Amazon,70.05,GBP,2025-05-05 15:24:03,Completed
91,105,Steam,4985.97,UZS,2023-11-09 04:40:33,Completed
