CustomerID,CreditScore,UpdatedAt
1,500,2024-08-16 23:46:15
2,691,2025-03-06 06:46:41
3,333,2024-07-14 19:26:25
4,819,2024-09-24 07:55:11
5,732,2025-04-10 14:40:04
6,308,2024-10-10 19:59:57
7,825,2024-08-11 23:02:42
8,386,2025-04-10 21:24:30
9,710,2024-11-11 15:53:56
10,675,2025-05-05 09:17:32
11,354,2025-02-19 08:31:56
12,631,2025-04-14 10:42:01
13,509,2024-09-01 17:19:38
14,437,2024-06-25 20:11:37
15,709,2025-06-21 07:45:53
16,407,2024-12-09 15:12:15
17,824,2025-05-03 00:55:17
18,663,2025-03-21 20:42:24
19,717,2024-07-23 14:14:56
20,463,2025-03-08 06:08:31
21,331,2024-11-10 08:17:39
22,763,2024-07-04 06:43:33
23,740,2025-01-01 06:48:39
24,835,2025-04-22 09:32:32
25,351,2024-10-24 22:52:40
26,605,2024-06-24 19:23:45
27,550,2025-04-27 15:29:48
28,433,2024-08-20 06:25:00
29,466,2025-05-13 21:08:39
30,619,2024-10-06 18:29:43
31,811,2024-11-25 10:49:34
32,726,2025-01-11 13:26:55
33,662,2024-10-03 07:30:01
34,746,2024-11-25 08:53:32
35,771,2024-08-12 12:51:10
36,700,2024-07-11 19:44:59
37,532,2024-10-14 23:19:59
38,465,2024-09-22 07:40:43
39,825,2025-06-15 16:46:25
40,809,2024-06-30 06:05:05
41,833,2025-03-06 07:08:24
42,333,2025-03-23 10:50:07
43,544,2024-12-18 03:53:46
44,792,2024-08-06 12:13:18
45,487,2024-12-15 09:34:15
46,672,2024-11-15 12:18:14
47,340,2024-09-15 12:32:28
48,831,2024-10-15 13:38:34
49,533,2024-12-21 16:18:01
50,472,2024-06-29 15:55:08
51,498,2025-05-28 16:51:09
52,635,2025-01-06 10:51:11
53,304,2024-07-04 23:57:20
54,675,2025-03-01 21:22:16
55,604,2025-02-09 07:33:27
56,399,2024-09-28 03:48:34
57,537,2024-06-24 14:54:53
58,695,2025-01-04 22:11:25
59,451,2025-06-15 09:35:13
60,802,2024-08-01 04:46:05
61,475,2024-07-31 18:46:14
62,724,2025-05-29 08:45:36
63,447,2024-12-12 10:52:01
64,697,2025-06-21 02:09:49
65,837,2025-01-16 20:45:34
66,742,2025-05-03 23:20:52
67,577,2024-10-03 04:44:53
68,730,2025-03-14 10:16:36
69,592,2024-11-10 10:51:13
70,501,2025-05-11 02:53:29
71,610,2025-04-21 07:43:26
72,609,2024-08-24 01:47:12
73,773,2025-03-13 20:18:15
74,772,2024-10-29 08:13:28
75,794,2025-05-19 08:21:02
76,776,2025-05-06 09:35:42
77,799,2024-10-28 14:59:48
78,558,2024-11-15 13:20:50
79,775,2025-06-05 04:26:49
80,322,2025-01-24 17:36:19
81,456,2024-10-18 02:41:00
82,631,2025-03-12 04:01:17
83,333,2025-03-17 15:05:40
84,797,2025-05-04 16:42:00
85,302,2025-01-22 05:23:09
86,688,2025-06-06 22:06:13
87,450,2025-06-03 16:27:37
88,426,2024-08-25 15:08:59
89,820,2025-03-10 09:21:48
90,825,2025-02-20 01:29:54
91,391,2024-07-08 17:20:53
92,708,2025-04-18 08:09:59
93,494,2025-01-10 10:30:14
94,365,2025-01-09 00:29:14
95,697,2025-05-22 23:03:42
96,637,2025-04-11 00:04:53
97,520,2024-06-27 20:06:44
98,600,2024-11-13 03:38:04
99,748,2025-03-04 00:35:05
100,769,2025-04-10 09:17:11
101,330,2025-05-15 22:56:43
102,659,2024-09-25 01:40:15
103,304,2025-06-12 21:54:42
104,418,2024-07-30 06:12:08
105,526,2024-12-19 10:00:08
106,695,2025-05-23 03:29:20
107,527,2024-11-03 06:12:18
108,605,2025-02-20 00:55:24
109,637,2024-07-07 10:50:03
110,824,2025-06-11 05:33:36
111,577,2025-06-17 17:16:31
112,452,2024-11-16 21:31:51
113,656,2024-08-31 00:27:40
114,323,2025-05-20 09:28:35
115,519,2025-01-27 06:27:44
116,643,2024-10-28 02:14:48
117,734,2024-09-07 11:24:09
118,576,2024-11-23 04:05:32
119,707,2025-06-03 17:20:20
120,329,2024-08-29 10:48:10
121,762,2024-11-14 16:51:23
122,523,2025-05-12 02:20:04
123,672,2024-07-13 18:35:47
124,558,2024-07-13 02:16:10
125,418,2025-04-28 23:13:08
126,635,2024-09-29 11:05:59
127,603,2024-07-11 05:58:34
128,378,2024-09-04 11:55:10
129,815,2025-06-21 22:50:38
130,638,2024-07-10 02:34:49
131,435,2025-01-10 22:46:29
132,639,2024-12-26 17:17:11
133,622,2024-10-04 02:13:30
134,751,2024-11-18 13:37:00
135,437,2025-01-24 16:07:53
136,311,2024-10-19 08:36:42
137,412,2024-12-29 05:42:58
138,547,2025-05-10 08:20:55
139,755,2025-03-03 19:32:00
140,561,2024-10-09 06:01:57
141,770,2024-09-19 04:43:49
142,827,2025-04-04 14:28:27
143,410,2024-11-19 19:14:46
144,736,2025-02-08 18:29:58
145,830,2025-05-25 12:04:33
146,494,2025-03-09 10:09:26
147,725,2024-08-31 03:46:49
148,458,2025-04-24 07:44:11
149,590,2024-07-31 22:53:11
150,539,2024-10-25 09:17:07
151,596,2024-11-07 07:37:44
152,757,2024-11-16 06:21:30
153,440,2025-01-09 00:24:41
154,386,2025-01-30 07:39:30
155,767,2025-05-26 06:29:14
156,661,2025-05-19 06:08:42
157,834,2025-03-20 07:58:54
158,771,2025-01-25 19:05:35
159,609,2025-03-17 19:24:28
160,730,2025-04-15 10:54:46
161,709,2025-04-01 05:38:42
162,796,2025-03-11 00:35:42
163,382,2025-04-13 16:11:40
164,626,2025-05-11 01:23:33
165,533,2024-08-19 00:04:07
166,590,2025-03-24 09:39:44
167,674,2025-05-28 23:28:19
168,836,2025-02-10 20:54:51
169,522,2024-11-11 02:30:40
170,456,2025-04-02 14:21:14
171,537,2024-10-25 05:26:46
172,766,2025-04-11 10:05:32
173,719,2025-02-16 20:46:54
174,582,2025-03-22 05:49:16
175,338,2025-05-06 23:38:06
176,726,2024-07-18 20:12:22
177,488,2024-07-29 08:33:57
178,829,2025-02-17 20:45:07
179,469,2024-10-14 02:53:56
180,434,2024-12-15 09:21:03
181,327,2025-05-09 14:36:59
182,440,2024-09-23 22:16:08
183,418,2024-09-23 16:38:04
184,796,2025-02-28 22:40:00
185,544,2024-09-30 16:46:05
186,330,2024-06-27 05:46:55
187,661,2024-07-13 23:58:26
188,692,2025-04-26 08:37:18
189,576,2025-04-30 03:17:33
190,763,2024-11-03 06:25:48
191,463,2025-02-09 23:49:00
192,555,2024-07-21 23:32:24
193,454,2024-07-28 18:57:52
194,409,2025-02-16 11:25:02
195,630,2025-03-13 08:32:54
196,435,2025-06-15 13:08:29
197,738,2024-12-16 07:11:20
198,825,2024-10-30 01:00:12
199,808,2024-07-02 05:43:59
200,788,2025-04-14 23:18:39
201,635,2025-04-29 05:13:09
202,474,2025-04-06 17:16:59
203,535,2025-02-17 12:51:58
204,753,2024-11-06 20:48:35
205,831,2024-08-29 11:00:50
206,506,2024-08-03 10:45:39
207,532,2025-01-16 18:15:04
208,327,2024-08-02 20:17:54
209,556,2024-12-01 03:20:02
210,533,2025-05-26 17:41:19
211,617,2025-04-08 09:11:57
212,470,2025-01-16 11:30:46
213,460,2025-01-11 10:37:02
214,538,2024-11-30 14:30:46
215,690,2025-04-15 19:52:02
216,434,2025-04-30 13:00:40
217,664,2025-04-19 06:25:23
218,450,2024-10-11 16:20:04
219,307,2025-01-18 15:09:39
220,582,2024-09-30 18:11:57
221,708,2025-02-14 14:29:54
222,430,2024-08-20 15:39:43
223,832,2025-01-21 14:00:23
224,694,2024-11-03 17:24:20
225,643,2025-06-08 19:11:34
226,667,2024-11-21 05:52:50
227,530,2024-10-22 20:05:52
228,777,2024-12-21 14:09:11
229,427,2025-06-18 15:12:17
230,600,2025-05-18 21:41:19
231,381,2024-09-04 02:16:47
232,605,2024-08-26 05:02:09
233,472,2024-09-03 20:32:10
234,704,2025-05-22 03:16:37
235,413,2025-04-09 02:52:13
236,753,2025-04-09 02:08:50
