IncidentID,AffectedSystem,ReportedDate,ResolutionStatus
1,MobileApp,2025-03-26,Resolved
2,ATMNetwork,2025-04-22,Closed
3,MobileApp,2024-09-12,Investigating
4,OnlineBanking,2025-02-27,Closed
5,MobileApp,2024-09-16,Investigating
6,InternalNetwork,2025-01-30,Escalated
7,OnlineBanking,2025-01-25,Open
8,ATMNetwork,2024-07-14,Investigating
9,Website,2024-08-28,Escalated
10,ATMNetwork,2025-06-08,Closed
11,OnlineBanking,2024-08-01,Closed
12,Website,2025-01-12,Escalated
13,InternalNetwork,2024-11-16,Open
14,CoreBanking,2025-05-14,Investigating
15,InternalNetwork,2024-08-04,Resolved
16,OnlineBanking,2024-10-26,Escalated
17,ATMNetwork,2025-01-01,Closed
18,ATMNetwork,2025-04-12,Investigating
19,Website,2024-10-02,Resolved
20,MobileApp,2024-07-01,Closed
21,InternalNetwork,2025-01-10,Closed
22,CoreBanking,2024-07-03,Escalated
23,ATMNetwork,2025-01-30,Resolved
24,InternalNetwork,2025-03-13,Escalated
25,CoreBanking,2024-12-05,Open
26,ATMNetwork,2024-10-13,Investigating
27,InternalNetwork,2025-05-17,Closed
28,MobileApp,2025-01-15,Investigating
29,ATMNetwork,2024-07-20,Escalated
30,MobileApp,2024-11-05,Resolved
31,InternalNetwork,2025-04-19,Open
32,Website,2025-06-16,Closed
33,MobileApp,2024-12-23,Investigating
34,MobileApp,2024-09-22,Closed
35,OnlineBanking,2025-06-11,Open
36,ATMNetwork,2024-11-12,Escalated
37,Website,2025-03-16,Resolved
38,MobileApp,2025-06-14,Escalated
39,InternalNetwork,2025-04-23,Open
40,InternalNetwork,2024-11-10,Investigating
41,CoreBanking,2024-09-29,Closed
42,MobileApp,2024-12-30,Open
43,InternalNetwork,2025-03-18,Resolved
44,Website,2025-05-03,Open
45,ATMNetwork,2024-07-10,Open
46,ATMNetwork,2025-03-17,Open
47,Website,2025-01-12,Resolved
48,Website,2025-02-19,Escalated
49,OnlineBanking,2025-05-13,Escalated
50,InternalNetwork,2024-08-27,Escalated
51,ATMNetwork,2024-06-27,Escalated
52,OnlineBanking,2024-09-10,Closed
53,ATMNetwork,2025-04-10,Closed
54,MobileApp,2025-06-15,Open
55,InternalNetwork,2024-09-05,Closed
56,OnlineBanking,2024-09-30,Open
57,InternalNetwork,2025-03-22,Closed
58,ATMNetwork,2025-02-02,Resolved
59,MobileApp,2024-08-03,Resolved
60,CoreBanking,2024-11-16,Escalated
61,InternalNetwork,2024-08-10,Open
62,MobileApp,2025-06-15,Closed
63,OnlineBanking,2024-12-12,Investigating
64,OnlineBanking,2024-11-30,Investigating
65,MobileApp,2025-05-17,Resolved
66,MobileApp,2024-07-08,Investigating
67,MobileApp,2025-04-03,Closed
68,CoreBanking,2024-08-26,Open
69,MobileApp,2025-05-14,Resolved
70,OnlineBanking,2024-12-05,Investigating
71,ATMNetwork,2024-09-11,Escalated
72,CoreBanking,2025-01-08,Closed
73,OnlineBanking,2024-11-10,Closed
74,Website,2024-08-05,Escalated
75,OnlineBanking,2024-08-28,Closed
76,InternalNetwork,2024-10-14,Closed
77,CoreBanking,2025-02-12,Resolved
78,ATMNetwork,2024-11-22,Closed
79,MobileApp,2024-10-20,Closed
80,ATMNetwork,2025-01-18,Investigating
81,Website,2024-08-30,Open
82,Website,2025-01-11,Escalated
83,InternalNetwork,2024-08-08,Open
84,ATMNetwork,2025-02-22,Closed
85,ATMNetwork,2025-06-03,Open
86,OnlineBanking,2025-01-10,Closed
87,Website,2025-05-23,Closed
88,CoreBanking,2025-01-08,Investigating
89,Website,2024-09-22,Escalated
90,CoreBanking,2025-03-22,Open
91,Website,2024-09-12,Open
92,ATMNetwork,2024-12-15,Resolved
93,OnlineBanking,2025-04-17,Open
94,OnlineBanking,2024-07-17,Resolved
95,CoreBanking,2024-11-16,Open
96,CoreBanking,2024-10-27,Escalated
97,InternalNetwork,2024-07-10,Open
98,ATMNetwork,2025-03-11,Open
99,OnlineBanking,2025-04-21,Open
100,CoreBanking,2024-11-28,Investigating
101,ATMNetwork,2025-02-09,Resolved
102,MobileApp,2024-07-15,Investigating
103,MobileApp,2024-12-10,Closed
104,OnlineBanking,2024-08-04,Closed
105,ATMNetwork,2025-02-19,Investigating
106,MobileApp,2024-12-25,Escalated
107,Website,2025-03-26,Closed
108,CoreBanking,2025-01-19,Open
109,CoreBanking,2025-01-30,Resolved
110,MobileApp,2025-04-17,Open
111,Website,2025-01-05,Resolved
112,CoreBanking,2025-06-19,Investigating
113,Website,2024-08-27,Investigating
114,Website,2025-02-05,Open
115,OnlineBanking,2024-11-15,Closed
116,InternalNetwork,2024-09-09,Escalated
117,Website,2025-03-28,Closed
118,MobileApp,2024-10-19,Investigating
119,OnlineBanking,2024-12-06,Resolved
120,InternalNetwork,2025-04-01,Closed
121,Website,2024-10-10,Investigating
122,Website,2025-05-17,Open
123,InternalNetwork,2025-05-15,Open
124,CoreBanking,2025-02-16,Closed
125,MobileApp,2024-08-31,Escalated
126,MobileApp,2024-11-28,Resolved
127,CoreBanking,2024-11-15,Escalated
128,CoreBanking,2024-08-24,Open
129,ATMNetwork,2025-02-24,Open
130,InternalNetwork,2025-04-11,Open
131,InternalNetwork,2024-12-30,Open
132,OnlineBanking,2025-01-17,Resolved
133,ATMNetwork,2024-10-15,Investigating
134,CoreBanking,2025-03-02,Open
135,Website,2024-12-03,Open
136,CoreBanking,2025-03-06,Resolved
137,OnlineBanking,2025-06-16,Open
138,Website,2024-09-20,Investigating
139,Website,2025-04-16,Closed
140,ATMNetwork,2025-01-27,Resolved
141,ATMNetwork,2025-04-21,Open
142,Website,2024-11-16,Investigating
143,InternalNetwork,2025-05-13,Open
144,ATMNetwork,2024-09-04,Escalated
145,MobileApp,2024-08-24,Investigating
146,MobileApp,2024-07-28,Open
147,CoreBanking,2024-12-27,Resolved
148,Website,2024-08-28,Investigating
149,MobileApp,2024-09-01,Escalated
150,InternalNetwork,2025-01-21,Closed
151,OnlineBanking,2024-07-06,Open
152,OnlineBanking,2024-10-02,Investigating
153,ATMNetwork,2025-05-12,Investigating
154,InternalNetwork,2024-06-28,Investigating
155,MobileApp,2025-04-22,Open
156,OnlineBanking,2024-11-26,Escalated
157,CoreBanking,2024-09-07,Closed
158,OnlineBanking,2024-07-15,Resolved
159,ATMNetwork,2024-12-01,Resolved
160,InternalNetwork,2024-12-01,Resolved
161,InternalNetwork,2024-09-14,Escalated
162,ATMNetwork,2024-07-19,Open
163,ATMNetwork,2024-09-28,Resolved
164,InternalNetwork,2025-06-20,Investigating
165,ATMNetwork,2025-02-27,Investigating
166,ATMNetwork,2024-12-13,Closed
167,ATMNetwork,2025-04-09,Investigating
168,OnlineBanking,2025-03-03,Closed
