FXID,CustomerID,CurrencyPair,ExchangeRate,AmountExchanged
1,854,USD/JPY,1.3874,6169.6
2,946,AUD/USD,1.1716,4665.66
3,946,USD/CNY,1.2877,1983.86
4,78,USD/CAD,1.3496,1354.29
5,78,USD/CNY,0.5242,5472.32
6,78,USD/JPY,0.5389,6067.88
7,36,GBP/USD,1.3754,6754.31
8,749,USD/CAD,1.2473,7795.69
9,576,USD/EUR,1.4263,9832.92
10,1000,GBP/USD,1.1434,5511.3
11,5,NZD/USD,0.7517,1894.53
12,5,GBP/USD,0.9539,350.0
13,5,GBP/USD,1.453,9863.87
14,359,USD/CNY,1.0316,1387.72
15,359,EUR/JPY,1.3011,8222.34
16,359,AUD/USD,0.8326,2530.86
17,546,NZD/USD,1.1938,5500.13
18,924,USD/JPY,1.2344,2478.67
19,924,USD/CAD,0.5563,9952.43
20,924,USD/CAD,1.251,4982.71
21,80,USD/CAD,0.9567,3625.38
22,621,USD/CAD,1.3857,4839.23
23,621,GBP/USD,0.9341,8428.18
24,552,USD/EUR,0.797,8594.49
25,186,NZD/USD,1.4267,5738.42
26,186,USD/CAD,1.358,2137.51
27,296,USD/CHF,1.4762,9519.15
28,433,EUR/JPY,1.1111,2669.5
29,219,USD/CNY,0.656,6965.66
30,16,USD/JPY,1.1776,3884.88
31,16,EUR/JPY,1.1532,1765.71
32,16,USD/JPY,0.5576,1126.66
33,984,EUR/JPY,1.4979,2058.74
34,385,EUR/JPY,0.8775,6635.83
35,74,AUD/USD,0.5776,3052.33
36,165,NZD/USD,0.9287,1177.47
37,209,USD/CAD,0.5641,3982.51
38,209,EUR/JPY,1.293,3695.69
39,495,USD/CAD,0.7459,3469.07
40,651,USD/CHF,0.5752,7176.51
41,651,EUR/JPY,1.3932,6387.97
42,155,USD/EUR,1.4,2716.0
43,155,EUR/GBP,1.3152,3832.71
44,155,EUR/JPY,0.5723,4916.66
45,722,USD/CNY,1.4264,946.62
46,34,USD/CNY,0.9986,3268.82
47,34,EUR/JPY,0.9413,7156.03
48,792,EUR/JPY,1.063,9224.45
49,748,USD/CAD,1.0228,5127.72
50,748,USD/JPY,0.8417,3995.71
51,739,USD/CHF,0.5724,5705.01
52,739,USD/CNY,1.2628,8505.17
53,760,NZD/USD,1.2442,3591.02
54,760,EUR/JPY,1.0582,9894.54
55,659,EUR/GBP,0.6143,5624.8
56,942,USD/JPY,1.3093,2772.73
57,735,USD/JPY,0.9677,7707.07
58,735,GBP/USD,0.7931,9928.66
59,606,GBP/USD,1.0764,340.04
60,606,AUD/USD,1.2169,6851.2
61,833,EUR/GBP,0.6067,3603.17
62,896,EUR/JPY,1.1181,5502.09
63,896,USD/CNY,1.0573,4610.12
64,755,EUR/JPY,0.7755,2578.35
65,994,USD/EUR,1.4234,2464.34
66,994,USD/EUR,0.5006,7050.7
67,994,GBP/USD,1.499,7543.16
68,455,GBP/USD,0.5759,2507.62
69,487,GBP/USD,0.9635,2599.68
70,676,NZD/USD,1.0977,7208.92
71,676,NZD/USD,1.1377,6795.22
72,639,USD/EUR,1.153,9624.54
73,649,USD/JPY,0.9518,8656.24
74,747,USD/EUR,1.3657,8288.49
75,747,EUR/GBP,0.8685,7228.71
76,747,USD/CNY,0.7525,9176.09
77,727,USD/CHF,0.7023,7523.31
78,632,EUR/JPY,0.9642,6660.35
79,632,USD/CNY,1.0431,9843.84
80,632,USD/CHF,0.808,2675.67
81,836,GBP/USD,0.8088,4846.88
82,825,NZD/USD,0.8277,5018.69
83,825,EUR/GBP,1.2198,8959.64
84,592,EUR/JPY,0.9612,6179.43
85,592,USD/CNY,1.1463,8956.48
86,380,GBP/USD,0.5909,8253.21
87,380,USD/JPY,0.96,8212.01
88,380,GBP/USD,1.3328,5628.01
89,696,AUD/USD,0.6816,5706.29
90,696,USD/JPY,0.857,578.09
91,696,EUR/JPY,0.7212,8350.92
92,331,AUD/USD,0.8435,340.07
93,331,NZD/USD,0.6833,8167.22
94,331,EUR/GBP,1.0416,9819.02
95,714,USD/EUR,0.9153,1573.49
96,244,USD/EUR,1.2183,2173.67
97,361,USD/JPY,1.1795,3874.45
98,361,AUD/USD,0.8175,6903.04
99,361,USD/CHF,0.7414,4901.77
100,301,USD/CHF,0.9534,6482.02
101,301,EUR/GBP,0.7863,584.02
102,301,USD/EUR,1.3422,4787.48
103,73,GBP/USD,1.4813,5663.09
104,892,USD/JPY,1.4113,3352.71
105,892,AUD/USD,0.8993,2740.97
106,497,USD/CAD,0.88,2879.39
107,497,AUD/USD,1.3785,6059.15
108,115,EUR/JPY,0.8889,5605.81
109,115,AUD/USD,0.6194,1879.49
110,115,USD/EUR,0.6717,8761.68
111,333,EUR/JPY,0.5963,6856.58
112,333,USD/CAD,0.6741,7532.1
113,333,GBP/USD,0.8305,4711.58
114,553,USD/EUR,1.1344,3718.92
115,553,USD/CAD,0.5322,9857.65
116,553,EUR/GBP,1.1596,1727.6
117,976,EUR/GBP,0.6231,1262.52
118,976,USD/EUR,1.4346,8061.25
119,587,EUR/JPY,1.0109,8865.14
120,237,USD/CHF,1.1194,6440.72
121,237,AUD/USD,0.8572,2513.35
122,891,EUR/GBP,1.1235,6184.5
123,891,EUR/GBP,0.7381,9998.25
124,355,NZD/USD,1.3933,9001.61
125,355,USD/CAD,0.502,8731.82
126,671,NZD/USD,1.083,2647.65
127,671,USD/CAD,0.8416,7562.89
