FraudID,CustomerID,TransactionID,RiskLevel,ReportedDate
1,490,2471,Low,4/17/2025
2,674,2621,Low,3/22/2025
3,774,2511,Low,3/8/2025
4,252,2071,Low,2/18/2025
5,742,803,High,3/18/2025
6,457,1760,High,5/19/2025
7,525,862,High,4/9/2025
8,737,1633,High,2/4/2025
9,595,2169,Low,4/1/2025
10,354,2101,Low,1/19/2025
11,983,1833,Low,1/3/2025
12,571,2949,Medium,3/8/2025
13,990,2206,Low,5/15/2025
14,933,1552,Medium,1/7/2025
15,185,582,Low,3/2/2025
16,341,153,Medium,5/8/2025
17,828,2601,High,2/9/2025
18,854,2912,High,5/21/2025
19,631,966,Medium,5/12/2025
20,557,2010,Low,5/14/2025
21,751,2588,Medium,4/8/2025
22,137,467,High,2/21/2025
23,619,2142,Low,2/20/2025
24,386,2116,Medium,4/2/2025
25,946,2445,Medium,5/13/2025
26,32,2732,Low,3/19/2025
27,952,855,Medium,5/11/2025
28,181,2435,High,4/3/2025
29,743,1438,Low,3/27/2025
30,555,1617,Medium,3/5/2025
31,158,2948,Low,3/20/2025
32,419,2715,High,6/18/2025
33,445,759,High,6/17/2025
34,91,232,Medium,5/1/2025
35,414,1804,Medium,4/23/2025
36,759,1820,High,6/2/2025
37,874,1693,Medium,3/12/2025
38,687,2917,Low,3/18/2025
39,719,2465,Medium,5/25/2025
40,78,2183,Low,5/25/2025
41,624,186,Medium,5/14/2025
42,668,2361,Medium,4/7/2025
43,272,1763,High,5/2/2025
44,973,2352,High,5/7/2025
45,234,890,Low,3/14/2025
46,371,883,High,1/22/2025
47,498,1150,Low,5/10/2025
48,685,1739,Low,3/25/2025
49,998,1050,Low,5/20/2025
50,398,481,Low,4/9/2025
51,727,965,Low,2/13/2025
52,156,1146,High,6/13/2025
53,710,1935,Medium,2/23/2025
54,193,1596,Medium,1/29/2025
55,112,2164,High,4/19/2025
56,281,2481,Low,1/20/2025
57,629,2198,Medium,3/10/2025
58,773,1612,Low,6/10/2025
59,217,579,High,5/11/2025
60,309,88,Medium,3/28/2025
61,244,1493,Medium,1/7/2025
62,187,1084,Medium,3/28/2025
63,413,836,High,6/10/2025
64,564,1427,Medium,1/9/2025
65,784,604,Medium,4/20/2025
66,677,2866,High,1/18/2025
67,331,142,Low,6/3/2025
68,477,573,High,2/22/2025
69,952,2773,High,1/21/2025
70,307,929,High,3/12/2025
71,664,2917,High,3/4/2025
72,364,2150,Low,5/31/2025
73,28,2372,High,2/10/2025
74,832,2412,High,1/3/2025
75,440,1777,High,5/5/2025
76,956,2868,High,4/21/2025
77,165,2857,Medium,4/6/2025
78,661,1283,High,1/22/2025
79,17,1339,Low,1/23/2025
80,893,1095,High,5/18/2025
81,30,1272,High,1/8/2025
82,774,1914,High,2/8/2025
83,229,1413,High,4/25/2025
84,622,1998,Medium,6/18/2025
85,280,925,Medium,5/2/2025
86,975,1318,Low,5/23/2025
87,391,1203,High,2/4/2025
88,579,1605,Low,1/27/2025
89,733,252,Medium,1/20/2025
90,512,2956,High,5/28/2025
91,620,2606,Medium,1/23/2025
92,468,584,Low,6/16/2025
93,165,580,High,5/2/2025
94,440,1260,Medium,3/1/2025
95,748,2765,Low,4/13/2025
