FraudID,CustomerID,TransactionID,RiskLevel,ReportedDate
1,565,2479,Critical,2025-01-31 01:04:46
2,711,3113,Low,2024-09-25 05:44:08
3,970,4047,Critical,2025-01-25 22:27:14
4,179,1667,Low,2024-12-06 01:32:42
5,996,2939,Medium,2025-02-04 17:32:31
6,789,4760,Medium,2024-06-25 05:25:37
7,291,780,Medium,2025-06-17 08:41:11
8,541,1908,Medium,2025-03-20 06:05:57
9,671,4832,High,2024-08-10 21:50:18
10,358,3232,Medium,2025-02-22 01:20:11
11,787,2691,High,2025-03-30 19:57:38
12,892,911,Medium,2025-06-07 12:35:36
13,767,1168,Medium,2025-03-06 09:35:22
14,285,2644,Medium,2024-10-25 15:14:56
15,257,3574,Medium,2025-01-17 22:20:59
16,726,3517,Critical,2025-06-23 01:32:24
17,339,1945,Critical,2025-02-04 14:55:30
18,872,570,High,2025-03-23 22:32:54
19,124,2609,Critical,2025-06-07 22:45:48
20,487,3771,High,2024-11-27 15:59:23
21,678,1760,Critical,2025-02-20 10:14:49
22,990,91,High,2024-11-24 05:31:37
23,195,4806,Low,2025-05-21 06:06:12
24,967,2984,Critical,2024-09-16 02:45:43
25,705,4333,Medium,2024-09-07 02:30:50
26,681,3944,Medium,2025-05-02 12:25:06
27,175,2286,High,2024-09-11 16:33:14
28,197,4660,Low,2025-04-01 20:15:19
29,228,1267,High,2025-02-16 00:37:47
30,345,4502,Medium,2024-10-16 00:21:09
31,354,1344,Medium,2025-01-28 17:13:02
32,188,757,Critical,2025-06-23 15:54:04
33,718,1610,Low,2024-10-27 17:24:25
34,137,2193,Low,2024-12-09 16:03:05
35,170,4403,Low,2025-05-03 14:24:37
36,232,1311,High,2025-03-21 20:12:24
37,697,4992,Low,2024-09-21 21:29:29
38,111,1943,Critical,2024-10-19 21:40:46
39,628,1565,Medium,2024-08-13 19:30:48
40,720,2403,Medium,2024-11-24 10:43:28
41,57,4670,Critical,2024-10-12 12:09:46
42,694,4911,Medium,2025-06-07 05:27:15
43,59,1832,Medium,2025-03-13 10:40:10
44,629,3695,Medium,2025-05-15 16:35:49
45,88,2979,High,2025-02-07 16:00:00
46,918,1096,Critical,2025-03-27 06:04:01
47,280,284,Critical,2025-05-31 04:40:07
48,320,2512,Critical,2024-12-10 21:08:59
49,511,3725,Critical,2025-03-23 14:37:58
50,322,3828,Critical,2025-04-24 04:56:20
51,417,1792,Low,2024-10-26 03:07:11
52,212,3889,Medium,2025-03-17 00:03:15
53,298,2596,Critical,2025-01-31 17:39:15
