PolicyID,CustomerID,InsuranceType,PremiumAmount,CoverageAmount
1,414,Vehicle,1148,73981.55
2,203,Health,1623.99,41622.25
3,881,Health,784.74,19780.85
4,332,Health,925.23,24551.91
5,887,Health,573.97,25863.15
6,11,Life,600.91,5655.14
7,468,Life,886.06,43477.41
8,903,Life,624.02,99765.98
9,181,Health,645.41,66321.05
10,48,Life,1835.9,65174.75
11,827,Vehicle,1646.76,61332.53
12,13,Life,395.5,17925.45
13,353,Life,292.81,68059.42
14,515,Life,1163.69,74709.49
15,300,Life,746.04,38054.8
16,847,Health,1372.4,47805.44
17,506,Life,1337.02,77882.84
18,242,Vehicle,1387.3,23537.9
19,948,Health,1466.96,12702.04
20,242,Health,1928.99,86704.15
21,360,Vehicle,672.93,75345.54
22,130,Life,1425.87,89030.37
23,308,Health,1573.32,43431.48
24,37,Life,1300.37,34152.89
25,929,Vehicle,202.62,95228.79
26,940,Life,1363.59,41157.07
27,622,Life,872.34,14324.68
28,104,Health,373.84,79691.85
29,380,Vehicle,1684.95,33240.41
30,60,Health,1916.55,99745.45
31,823,Health,803.28,5739.73
32,257,Health,1213.72,30729.85
33,279,Vehicle,1745.55,91074.88
34,763,Vehicle,1829.05,83328.14
35,981,Health,849,45699.98
36,899,Life,488.79,32714.41
37,47,Life,1558.63,36146.36
38,184,Vehicle,247.33,32905.36
39,645,Life,843.17,50858.91
40,169,Vehicle,1492.81,30680.06
41,24,Life,466.02,15376.49
42,140,Life,275.83,33553.15
43,262,Life,537.37,54191.75
44,141,Health,1936.91,99699.11
45,690,Vehicle,1185.59,39148.28
46,467,Vehicle,1121.73,25045.55
47,114,Vehicle,1487.43,96219.97
48,153,Life,271.06,71773.35
49,232,Health,1087.44,65563.25
50,400,Vehicle,323.65,47240.56
51,261,Vehicle,1095.27,91440.14
52,607,Health,575.95,87362.33
53,700,Health,1833.89,20490.52
54,547,Health,1762.85,81824.11
55,332,Vehicle,1526.38,59201.43
56,123,Health,686.46,97095.46
57,255,Health,1873.23,32448.48
58,561,Health,428.88,32256.52
59,3,Vehicle,1122.79,58048.04
60,415,Vehicle,258.64,85855.19
61,666,Life,1871.25,33349.03
62,756,Life,853.02,81783.69
63,707,Life,1222,69347.31
64,593,Life,646.8,52204.07
65,717,Health,1233.15,9632.07
66,335,Health,1922.84,55272.2
67,2,Health,563.74,37276.98
68,296,Health,688.79,5641.02
69,329,Vehicle,1388.59,22184.73
70,937,Vehicle,900.15,27698.58
71,48,Health,1053.4,73920.74
72,908,Life,1294.86,38639.39
73,881,Health,1187.08,91435.05
74,56,Health,375.99,54955.38
75,284,Health,1998.26,22314.43
76,372,Health,671.31,51585.72
77,55,Life,1841.2,21853.96
78,941,Vehicle,811.21,27827.46
79,207,Health,1236.5,41177.07
80,231,Health,263.91,88250.12
81,127,Life,683.89,33317.75
82,585,Vehicle,274.13,64543.71
83,966,Vehicle,717.89,7499.13
84,369,Life,1832.2,65295.93
85,219,Life,1316.41,44026.93
86,448,Life,757.82,16807.09
87,385,Life,872.82,35707.76
88,461,Life,1729.6,59624.18
89,268,Health,805.57,33098.58
90,427,Life,1649.81,23329.69
91,615,Vehicle,1980.01,25103.16
92,715,Life,1434.99,73250.7
93,569,Life,411.58,96601.12
94,42,Life,1176.87,49772.3
95,951,Vehicle,1940.3,91968.39
96,27,Life,1904.87,75369.88
97,802,Vehicle,1282.51,83068.23
98,97,Vehicle,1444.36,57438.25
99,946,Health,1850.68,70890.4
100,427,Health,1894.61,53387.24
101,520,Health,1875.69,83169.58
102,961,Life,980.37,8085.49
103,556,Life,605.28,55579.54
104,680,Life,1082.68,79906.56
105,621,Vehicle,280.26,85249.43
106,276,Life,847.88,23927.86
107,611,Life,702.93,96490.6
108,530,Vehicle,1138.1,50453.11
109,252,Vehicle,1776.26,28573.16
110,325,Life,1743.25,21903.93
111,377,Vehicle,1131.04,13584.51
112,936,Health,1587.11,68284.51
113,378,Vehicle,706.38,44254.93
114,887,Life,263.49,22336.64
115,231,Life,492.31,15606.89
116,738,Vehicle,444.25,67357.56
117,983,Health,308.97,15496.76
118,235,Vehicle,838.73,70515.68
119,373,Health,288.78,14039.97
120,557,Life,1685.8,93576.02
121,478,Vehicle,1865.05,93884.96
122,94,Health,486.59,80177.01
123,142,Health,750.22,44130.4
124,489,Vehicle,205.58,29432.41
125,786,Vehicle,361.63,6507.72
126,42,Life,1337.02,21974.21
127,888,Health,1808.37,63702.71
128,208,Health,1381.48,50273.68
129,866,Vehicle,1266.75,94676.58
130,273,Life,869.39,51707.4
131,763,Life,362.41,51391.82
132,599,Life,212.03,78728.73
133,453,Life,1984.63,43958.24
134,395,Life,1809.72,52182.6
135,979,Health,544.68,34202.18
136,567,Vehicle,333.53,10749.96
137,779,Life,1863.58,21007.18
138,182,Life,1844.7,11865
139,136,Health,1031.94,80232.79
140,399,Health,1983.31,17620.77
141,686,Vehicle,866.82,77091.54
142,558,Health,732.52,15562.14
143,133,Vehicle,1105.29,52620.75
144,179,Life,1071.32,74797.89
145,809,Health,656.3,90526.81
146,647,Life,340.02,72430.99
147,263,Life,1386.87,89220.62
148,881,Health,1202.65,58515.68
149,979,Vehicle,355.24,46091.62
150,114,Health,326.17,44667.01
151,997,Health,1567.02,68493.48
152,516,Vehicle,1548.34,58834.05
153,659,Life,1339.1,41464.23
154,242,Vehicle,1156,82115.58
155,463,Vehicle,755.37,34115.16
156,661,Health,205.74,49232.58
157,895,Life,552.28,9366.58
158,945,Vehicle,1057.87,26070.36
159,944,Vehicle,490.73,31024.58
160,175,Vehicle,1183.94,76197.83
161,509,Life,725.9,47351.13
162,682,Life,699.85,91409.98
163,967,Health,1782.15,81564.68
164,302,Health,669.6,29461.95
165,444,Health,1221.78,28693.26
166,86,Life,326.61,78885.94
167,131,Life,1494.7,97973.09
168,641,Vehicle,367.91,88905.39
169,599,Health,1887.8,55591.58
170,168,Life,966.16,97586.31
171,575,Vehicle,941.2,8143.81
172,673,Vehicle,1962.2,27058.72
173,243,Health,382.02,28407.93
174,600,Health,1478.56,21402.38
