PolicyID,CustomerID,InsuranceType,PremiumAmount,CoverageAmount
1,196,Health,1097.39,18453.38
2,843,Life,1056.9,25666.23
3,843,Property,1877.67,40044.1
4,563,Property,558.46,11931.31
5,237,Life,104.46,1767.8
6,237,Travel,345.34,3671.23
7,930,Travel,1359.08,33880.5
8,930,Property,418.98,5361.72
9,42,Health,1038.86,30043.06
10,42,Property,487.23,10916.11
11,813,Property,1633.27,39987.1
12,813,Health,461.93,9409.82
13,192,Travel,263.72,3282.73
14,192,Vehicle,369.27,9207.62
15,642,Vehicle,604.99,17854.55
16,546,Property,458.81,11545.69
17,779,Life,474.37,6942.85
18,779,Life,1897.98,22390.43
19,858,Health,222.43,5477.65
20,620,Vehicle,622.77,15540.9
21,620,Health,523.68,9057.86
22,848,Life,1004.64,22569.1
23,397,Life,1707.05,50659.0
24,567,Life,1559.5,40725.56
25,567,Property,990.25,27413.8
26,730,Life,1042.12,13040.27
27,730,Property,844.78,13778.7
28,678,Life,368.38,6370.05
29,678,Travel,1088.08,21917.78
30,833,Travel,1086.91,16221.52
31,833,Health,1590.78,46173.88
32,379,Property,1699.11,42347.93
33,379,Travel,287.11,7889.31
34,909,Travel,1665.28,48954.1
35,973,Vehicle,1879.21,22184.68
36,973,Travel,203.51,4324.46
37,431,Life,1086.59,30670.96
38,798,Life,1632.86,23620.84
39,657,Property,175.09,1965.8
40,198,Vehicle,918.36,23091.77
41,198,Property,551.3,10614.27
42,514,Life,754.92,11884.24
43,313,Vehicle,509.2,13696.5
44,313,Vehicle,1380.37,20918.92
45,561,Health,491.78,10533.64
46,637,Travel,169.99,1832.96
47,637,Health,1437.0,30004.39
48,293,Life,1962.15,20173.31
49,293,Health,1819.58,42118.46
50,504,Vehicle,543.32,11502.7
51,10,Life,727.93,10796.59
52,886,Property,1942.21,52710.59
53,886,Vehicle,1461.86,37666.89
54,660,Health,797.84,8345.75
55,660,Life,1149.2,20309.62
56,58,Vehicle,1902.6,52170.36
57,58,Health,1521.57,30853.17
58,183,Travel,1825.98,39518.94
59,183,Travel,387.3,6740.32
60,967,Health,437.26,6286.11
61,601,Health,622.84,11810.9
62,601,Life,793.95,22193.66
63,727,Property,1294.89,31258.0
64,727,Health,1494.71,31517.68
65,330,Travel,782.6,16092.81
66,330,Property,430.2,6766.32
67,75,Travel,1442.49,15800.26
68,75,Health,916.99,16516.48
69,334,Life,750.71,10944.68
70,334,Life,1597.21,16131.72
71,808,Property,1181.88,31555.35
72,226,Health,853.43,12929.29
73,988,Health,861.39,21086.15
74,988,Property,1527.33,45148.25
75,441,Travel,1093.81,12394.47
76,94,Life,1881.38,55902.34
77,94,Health,359.05,10719.29
78,1000,Vehicle,1861.56,29748.78
79,349,Vehicle,926.23,22690.45
80,349,Property,318.05,4395.74
81,245,Property,376.4,5242.18
82,245,Travel,1395.72,31394.32
83,462,Property,1694.85,23908.96
84,462,Life,1253.3,15095.85
85,373,Vehicle,1593.99,19504.15
86,373,Travel,1546.14,25795.69
87,952,Health,1032.5,20339.49
88,952,Life,808.47,23254.96
89,835,Vehicle,1307.85,15679.61
90,835,Life,275.21,6354.43
91,131,Travel,1931.83,35791.04
92,131,Life,1161.09,14459.05
93,699,Property,1351.97,24661.03
94,699,Property,785.09,9886.17
95,615,Property,1097.28,20015.85
96,615,Vehicle,1059.65,11965.68
97,380,Property,1496.37,35395.76
98,380,Vehicle,803.14,18082.55
99,761,Life,1429.88,33747.48
100,761,Vehicle,1414.85,21870.92
101,497,Life,530.22,12044.07
102,497,Vehicle,1667.98,29854.95
103,238,Health,207.53,5374.29
104,238,Vehicle,1369.79,29990.69
105,866,Property,1822.56,25790.07
106,769,Life,1455.96,31564.11
107,498,Travel,1222.65,26417.14
108,743,Vehicle,1921.83,53270.26
109,743,Health,478.63,4857.35
110,291,Vehicle,863.35,10098.12
111,422,Vehicle,390.75,6992.74
112,151,Travel,1439.56,43051.38
113,151,Property,318.02,8197.2
114,947,Travel,349.76,9996.55
115,208,Life,1809.74,19800.33
116,979,Health,1577.83,19158.43
117,979,Life,1652.72,37321.38
118,221,Property,153.15,2173.24
119,432,Life,263.21,5928.07
120,432,Health,1579.57,17358.44
121,889,Property,138.12,2178.71
122,560,Travel,1658.12,43265.23
123,748,Travel,1842.89,25844.85
124,748,Property,506.55,8422.02
125,186,Health,1245.74,26555.25
126,472,Life,966.73,17540.68
127,472,Travel,785.15,22861.37
128,495,Life,894.5,26691.38
129,495,Life,1906.72,29291.0
130,647,Life,791.45,10786.06
131,214,Travel,1768.55,43991.27
132,582,Health,1503.17,18569.5
133,160,Life,1292.8,36527.66
134,160,Property,1798.0,33188.83
135,185,Vehicle,1793.92,31970.35
136,185,Health,151.7,1743.22
137,852,Property,1529.64,39230.69
138,852,Life,521.12,9384.8
139,26,Vehicle,767.57,19823.76
140,775,Vehicle,1267.82,15900.98
141,775,Health,1250.49,17710.57
142,90,Health,1006.45,15255.27
143,90,Life,258.57,3950.82
144,350,Property,586.02,15661.68
145,508,Life,1412.19,24032.99
