InvestmentID,CustomerID,InvestmentType,Amount,ROI,MaturityDate
1,1000,Stocks,51368.56,6.74,3/13/2027
2,709,Stocks,21600.52,14.64,4/14/2028
3,774,Mutual Funds,28387.52,4.23,1/3/2028
4,451,Bonds,87539.01,1.66,11/21/2029
5,177,Mutual Funds,89463.68,1.29,12/10/2026
6,206,Mutual Funds,72210.18,5.51,7/20/2026
7,718,Mutual Funds,50659.63,14.39,9/11/2026
8,571,Bonds,28571.73,14.07,4/10/2027
9,158,Bonds,52235.79,6.88,10/4/2027
10,136,Mutual Funds,38475.04,14.57,4/24/2027
11,735,Bonds,62176.92,5.15,7/19/2029
12,702,Mutual Funds,88285.45,12.31,2/2/2027
13,469,Mutual Funds,6467.83,5.01,11/24/2029
14,335,Stocks,35275.22,13.54,2/9/2029
15,649,Mutual Funds,17507.06,13.52,3/6/2030
16,19,Bonds,3085.45,8.56,5/3/2029
17,819,Stocks,25663.58,8.25,12/16/2029
18,12,Mutual Funds,2611.74,10.55,3/13/2027
19,177,Mutual Funds,47786.21,1.12,9/16/2028
20,654,Bonds,73344.07,8.73,4/27/2030
21,641,Bonds,42771.43,9.84,6/16/2028
22,208,Stocks,61352.29,3.09,8/11/2027
23,976,Stocks,12973.36,8.2,9/6/2025
24,106,Bonds,62719.59,3.87,2/16/2028
25,975,Bonds,82139.92,12.47,3/23/2030
26,793,Stocks,71972.42,3.09,2/13/2027
27,171,Bonds,15220.13,5.27,11/10/2027
28,142,Bonds,8068.99,11.77,1/30/2028
29,402,Stocks,52059.32,8.79,12/9/2026
30,957,Mutual Funds,67081.39,4.56,9/24/2028
31,557,Mutual Funds,65170.87,4.79,11/25/2029
32,961,Mutual Funds,17508.44,10.39,10/17/2027
33,220,Mutual Funds,95600.91,2.78,3/8/2028
34,515,Mutual Funds,30808.53,11.56,2/25/2029
35,405,Stocks,60570.14,8.94,2/12/2029
36,84,Stocks,51323.3,2.31,7/24/2025
37,522,Bonds,20483.9,14.11,5/19/2029
38,929,Stocks,24748.84,4.17,6/17/2030
39,960,Mutual Funds,32482.67,14.23,1/2/2028
40,876,Stocks,8988.01,4.64,2/22/2030
41,678,Bonds,82715.32,4.6,8/27/2027
42,135,Stocks,48329.55,11,3/13/2026
43,895,Bonds,99062.57,13.71,11/11/2026
44,941,Mutual Funds,64064.28,14.87,1/20/2026
45,822,Bonds,77454.9,3.31,1/31/2028
46,180,Mutual Funds,34980.38,10.56,1/30/2027
47,464,Stocks,4152.43,7.88,10/24/2026
48,528,Bonds,65127.4,8.35,2/15/2026
49,803,Bonds,84144.42,12.85,7/20/2026
50,149,Mutual Funds,5988.93,13.66,12/8/2026
51,54,Bonds,66215.6,12.63,4/23/2027
52,801,Mutual Funds,25405.74,9.95,4/22/2028
53,466,Bonds,25073.25,7.09,9/28/2026
54,681,Bonds,48815.53,6.09,11/29/2026
55,520,Bonds,58574.37,7.18,3/10/2026
56,499,Stocks,72992.12,13.76,12/21/2029
57,325,Bonds,84208,4.17,5/13/2027
58,341,Stocks,50652.45,7.98,7/5/2028
59,994,Mutual Funds,96683.03,3.58,9/5/2029
60,547,Mutual Funds,93094.69,11.47,2/7/2027
61,937,Bonds,78351.51,1.78,7/1/2029
62,448,Mutual Funds,73409.22,10.51,9/23/2026
63,470,Bonds,76444.13,14.33,1/28/2030
64,173,Bonds,93972.09,13.41,1/20/2026
65,123,Stocks,74570.4,13.62,5/8/2026
66,473,Mutual Funds,63566.47,3.17,10/6/2027
67,554,Stocks,88050.32,12.17,10/17/2026
68,362,Stocks,16829.73,10.2,3/16/2026
69,773,Bonds,33444.59,2.62,9/23/2026
70,461,Mutual Funds,25299.38,14.63,9/23/2025
71,155,Stocks,8808.17,12.92,3/20/2029
72,710,Stocks,7300.55,7.25,2/20/2028
73,654,Bonds,33961.43,6.48,10/21/2027
74,471,Bonds,48511.76,6.16,1/15/2026
75,45,Bonds,45876.41,5.25,2/9/2028
76,305,Bonds,69473.61,12.05,11/30/2027
77,810,Mutual Funds,56801.75,1.59,12/12/2027
78,727,Bonds,94970.43,10.81,8/14/2025
79,500,Mutual Funds,49674.74,13.55,7/30/2025
80,757,Mutual Funds,52009.27,4.29,2/14/2026
81,830,Stocks,97730.53,14.78,3/7/2029
82,590,Stocks,22692,10.47,6/27/2026
83,2,Stocks,56445.88,4.14,11/24/2026
84,124,Mutual Funds,48501.79,14.63,9/18/2027
85,799,Bonds,70978.94,12.06,10/12/2025
86,19,Stocks,62085.77,3.72,9/3/2028
87,796,Stocks,51445.7,12.98,1/29/2028
88,11,Stocks,75398.72,4.77,12/13/2029
89,108,Stocks,44661.23,4.08,8/26/2027
90,155,Mutual Funds,57548.51,12.14,2/7/2030
91,30,Bonds,55532.22,8.21,2/10/2026
92,879,Mutual Funds,55000.48,11.8,4/27/2027
93,555,Bonds,70475.08,8.91,1/22/2026
94,580,Bonds,23599.2,10.72,1/8/2027
95,658,Mutual Funds,14184.2,12.67,4/7/2029
96,538,Stocks,62571.66,3.01,7/4/2028
97,535,Stocks,88372.16,10.81,11/4/2025
98,589,Mutual Funds,40214.41,13.24,8/15/2028
99,97,Mutual Funds,4860.36,3.5,12/12/2026
100,284,Bonds,83217.93,8.87,6/5/2030
101,933,Stocks,90871.98,11.76,8/5/2026
102,556,Stocks,85308.58,9.1,1/10/2028
103,936,Mutual Funds,75701.44,8.63,1/5/2026
104,492,Stocks,47301.61,6.32,11/6/2029
105,628,Mutual Funds,75228.52,12.85,8/13/2028
106,839,Bonds,27984.01,4.84,7/20/2028
107,66,Stocks,55025.1,2.15,11/15/2028
108,109,Bonds,27009.6,3.33,10/25/2025
109,797,Stocks,32970,13.43,4/24/2029
110,235,Stocks,73917.77,14.89,2/22/2027
111,765,Stocks,53017.44,2.9,6/19/2027
112,516,Bonds,18366.1,4.14,7/30/2025
113,135,Stocks,64424.5,7.66,5/22/2030
114,1000,Stocks,48994.69,13.69,7/27/2029
115,382,Stocks,12349.26,5.81,4/15/2029
116,976,Stocks,49228.14,14.44,12/2/2028
117,995,Mutual Funds,15571.89,1.97,11/8/2025
118,124,Mutual Funds,27374.19,5.02,12/5/2029
119,746,Bonds,38987.04,13.09,11/24/2029
120,556,Stocks,42376.86,7.15,6/20/2029
121,375,Mutual Funds,44477.96,7.51,9/5/2029
122,478,Stocks,65695.35,8.12,10/18/2028
123,282,Bonds,3630.08,3.64,2/22/2028
124,948,Bonds,95311.65,13.86,6/3/2028
125,340,Mutual Funds,90734.33,5.01,7/27/2026
126,778,Stocks,61761.72,12.09,5/2/2026
127,238,Bonds,69376.06,8.48,4/17/2028
128,448,Mutual Funds,59950.79,7.86,9/29/2027
129,438,Mutual Funds,29738.51,14.68,6/4/2026
130,808,Stocks,61810.59,8.91,5/26/2030
131,782,Bonds,48548.47,3.7,9/28/2028
132,787,Stocks,33238.12,11.59,5/24/2030
133,612,Stocks,91493.63,14.85,3/4/2028
134,932,Stocks,9453.72,1.18,5/22/2030
135,33,Bonds,85114.8,7.59,12/8/2025
136,243,Stocks,99207.43,8.26,2/25/2028
137,161,Mutual Funds,41453.48,7.67,3/24/2028
138,257,Stocks,59096.69,7.79,1/13/2030
139,763,Stocks,21569.87,3.57,12/30/2025
140,326,Stocks,73579.88,2.24,6/12/2027
141,204,Stocks,62873.52,3.1,9/27/2025
142,487,Bonds,65197.83,13.23,3/12/2029
143,272,Mutual Funds,69663.97,11.17,6/20/2028
144,291,Bonds,91306.05,14.26,5/17/2030
145,455,Mutual Funds,91450.96,10.93,5/19/2030
146,857,Stocks,29726.46,12.16,3/2/2029
147,837,Mutual Funds,73161.02,7.44,3/26/2027
148,836,Stocks,46104.73,1.33,7/21/2026
149,948,Bonds,56247.4,7.29,10/28/2028
150,790,Mutual Funds,74823.86,2.76,7/19/2029
151,6,Mutual Funds,77412.02,2.69,2/22/2028
152,484,Bonds,61318.41,8.45,1/16/2026
153,170,Stocks,45811.75,2.2,2/22/2027
