InvestmentID,CustomerID,InvestmentType,Amount,ROI,MaturityDate
1,789,Stocks,75081.28,1.06,2025-12-01
2,789,MutualFunds,56469.62,6.01,2029-05-26
3,789,Bonds,60470.56,2.19,2028-04-27
4,683,Stocks,96307.91,17.13,2028-08-16
5,369,Crypto,98760.51,10.69,2027-01-06
6,921,Stocks,35137.36,9.85,2027-11-22
7,921,MutualFunds,69239.46,15.4,2030-03-26
8,266,Bonds,35650.69,-2.57,2029-11-15
9,735,Bonds,34298.2,-2.12,2028-02-27
10,772,Bonds,91570.14,0.51,2026-06-24
11,772,MutualFunds,5274.4,7.41,2027-09-22
12,772,Bonds,69881.9,-7.7,2027-04-02
13,162,Crypto,31567.62,9.22,2029-01-28
14,162,MutualFunds,10692.73,-1.83,2026-11-15
15,162,Stocks,86414.38,-8.54,2028-07-12
16,489,Crypto,53082.23,7.97,2026-02-02
17,489,Crypto,25386.67,15.82,2027-01-05
18,489,Crypto,66753.05,6.86,2030-04-23
19,878,MutualFunds,37084.32,13.04,2029-02-04
20,674,Stocks,15180.84,2.57,2028-07-22
21,674,Bonds,72497.74,7.37,2030-02-16
22,102,MutualFunds,72388.99,17.8,2026-03-27
23,320,Bonds,39523.96,16.65,2026-07-12
24,320,Stocks,49297.3,-6.15,2030-04-01
25,320,Stocks,84619.53,2.15,2030-06-01
26,760,Crypto,79882.08,5.6,2025-09-25
27,760,Bonds,99575.73,5.71,2027-09-18
28,760,Crypto,75737.98,-5.75,2030-05-13
29,111,Bonds,91139.94,8.43,2028-09-10
30,111,MutualFunds,56607.03,11.12,2027-05-28
31,111,Bonds,25529.07,13.92,2030-04-09
32,977,Stocks,69169.51,12.29,2025-12-18
33,365,MutualFunds,83401.76,-4.19,2029-07-25
34,927,RealEstate,3675.63,13.37,2028-08-31
35,927,Bonds,56049.81,-3.47,2030-01-02
36,927,Crypto,67184.01,-8.94,2030-02-06
37,953,MutualFunds,50371.72,-9.66,2027-08-20
38,953,Stocks,68388.66,2.66,2029-10-07
39,416,RealEstate,22800.12,-0.73,2028-04-18
40,552,RealEstate,44614.74,0.2,2027-08-07
41,552,MutualFunds,27754.76,10.76,2027-01-27
42,84,RealEstate,48870.11,-9.76,2028-07-18
43,84,MutualFunds,52453.67,-7.58,2029-05-29
44,84,Crypto,39860.33,4.1,2027-09-07
45,420,RealEstate,10188.98,14.35,2025-10-22
46,420,RealEstate,61934.64,-5.81,2029-03-04
47,420,RealEstate,54508.06,-7.31,2029-11-22
48,427,MutualFunds,77348.38,-7.55,2029-07-20
49,427,MutualFunds,78558.84,-1.21,2030-02-14
50,802,MutualFunds,60066.66,17.55,2026-08-07
51,802,MutualFunds,29340.15,-2.24,2028-02-08
52,802,MutualFunds,16734.03,-2.51,2027-11-09
53,37,RealEstate,48626.62,14.61,2029-01-05
54,807,Stocks,51280.14,5.03,2030-01-23
55,807,RealEstate,62549.74,8.46,2026-10-17
56,548,RealEstate,26678.25,-5.04,2028-02-23
57,339,RealEstate,15455.93,9.69,2029-03-28
58,339,Stocks,35899.05,12.19,2030-03-28
59,339,Bonds,81925.09,15.49,2026-02-23
60,190,Crypto,60426.47,-4.59,2025-11-07
61,190,RealEstate,18926.1,1.82,2027-06-28
62,219,Bonds,85065.91,-4.11,2028-07-02
63,281,Bonds,75674.9,11.38,2028-09-20
64,281,Crypto,4063.27,-7.37,2027-08-25
65,496,Crypto,71105.02,2.07,2027-07-11
66,211,MutualFunds,5713.15,-8.58,2026-07-22
67,211,Crypto,24466.9,10.87,2029-11-26
68,211,Stocks,83957.65,4.03,2026-01-19
69,214,Crypto,41251.97,4.56,2028-12-29
70,214,RealEstate,38383.21,-9.45,2025-10-22
71,564,Stocks,20237.52,16.55,2026-10-17
72,589,Bonds,59400.25,10.23,2026-02-24
73,589,RealEstate,4824.07,11.29,2029-08-18
74,589,MutualFunds,65097.62,-6.1,2026-06-26
75,681,Crypto,98655.78,13.08,2028-09-04
76,854,Bonds,42282.69,-3.89,2028-07-08
77,854,MutualFunds,58007.16,-1.87,2025-12-30
78,572,Stocks,49643.67,4.1,2026-10-23
79,706,Bonds,17278.87,10.64,2025-09-30
80,618,Stocks,15244.4,10.53,2030-03-01
81,42,Bonds,19285.0,11.89,2028-07-13
82,42,MutualFunds,62944.93,4.24,2029-10-31
83,354,Crypto,26864.97,10.77,2026-12-18
84,2,Stocks,33764.74,-0.14,2029-07-31
85,2,Crypto,74102.54,-8.14,2027-05-24
86,2,Crypto,35191.97,-8.07,2026-10-14
87,78,Crypto,94387.08,15.86,2029-08-06
88,545,RealEstate,54646.69,-3.44,2027-07-09
89,545,RealEstate,49879.89,-2.71,2029-05-20
90,814,MutualFunds,18154.53,2.25,2029-12-15
91,814,Bonds,65933.92,7.18,2030-02-13
92,814,Crypto,15460.19,-2.46,2026-01-19
93,16,RealEstate,36083.95,0.54,2029-12-07
94,200,MutualFunds,87464.51,-6.64,2029-08-16
95,200,RealEstate,99445.74,-3.72,2028-02-13
96,476,MutualFunds,11440.58,-1.13,2028-07-19
97,476,Crypto,62808.17,12.58,2026-01-31
98,734,RealEstate,33835.53,-0.68,2027-12-29
99,734,MutualFunds,19866.27,-5.26,2029-09-07
100,734,RealEstate,97239.32,12.22,2028-04-25
101,693,RealEstate,76358.22,-1.15,2026-12-22
102,693,Bonds,18429.71,17.85,2029-06-11
103,693,Bonds,76527.9,-1.61,2030-03-14
104,676,Crypto,59256.83,17.23,2028-02-04
105,149,Bonds,29327.66,18.3,2029-06-23
106,149,RealEstate,63423.49,-9.47,2026-11-06
107,307,Stocks,78366.26,16.56,2030-03-20
108,307,RealEstate,13104.93,-9.1,2025-12-19
109,898,RealEstate,92723.52,-4.55,2026-03-03
110,898,Crypto,69244.09,4.74,2027-05-06
111,818,Crypto,29849.9,-8.47,2028-02-13
112,818,RealEstate,16605.0,3.23,2027-01-14
113,818,Bonds,48397.18,-2.91,2027-08-27
114,283,RealEstate,82830.23,7.55,2028-06-04
115,283,MutualFunds,14582.04,-2.85,2026-11-07
116,283,MutualFunds,96741.74,-8.82,2027-05-05
117,298,MutualFunds,32724.62,-1.43,2029-05-16
118,298,Crypto,54494.75,-4.08,2029-07-27
119,298,RealEstate,46720.44,3.31,2030-02-02
120,532,Stocks,33023.1,-0.12,2028-04-23
121,532,Crypto,48954.05,-7.39,2027-11-18
122,594,MutualFunds,96347.71,11.07,2028-08-15
123,996,Bonds,10789.55,12.99,2029-08-21
124,996,Bonds,22154.69,2.28,2029-10-23
