PaymentID,LoanID,AmountPaid,PaymentDate,RemainingBalance
1,1,129761.72,2025-09-30,354275.81
2,1,89065.7,2026-08-03,265210.11
3,1,70164.89,2029-02-16,195045.22
4,1,18084.23,2031-10-17,176960.99
5,1,15742.52,2032-06-06,161218.47
6,1,42234.67,2033-09-01,118983.8
7,2,31490.41,2023-10-21,117990.66
8,2,22249.16,2024-09-25,95741.5
9,2,16867.08,2026-02-14,78874.42
10,2,12083.97,2026-09-14,66790.45
11,2,17385.7,2027-01-18,49404.75
12,3,13122.27,2025-04-08,78745.61
13,3,6719.92,2025-04-14,72025.69
14,3,14487.9,2025-05-18,57537.79
15,3,10514.49,2025-06-23,47023.3
16,3,5831.38,2025-07-17,41191.92
17,3,6049.34,2025-09-09,35142.58
18,3,8839.58,2025-09-15,26303.0
19,3,4071.38,2025-09-17,22231.62
20,3,5012.59,2025-10-16,17219.03
21,3,1112.54,2026-01-18,16106.49
22,4,22048.71,2022-12-11,55368.73
23,4,5780.13,2023-06-30,49588.6
24,4,13057.41,2030-01-18,36531.19
25,5,30646.02,2024-02-02,237510.62
26,5,58591.17,2024-08-31,178919.45
27,5,33238.6,2025-02-27,145680.85
28,5,18054.13,2025-05-26,127626.72
29,5,35793.39,2025-06-27,91833.33
30,5,18891.97,2026-02-09,72941.36
31,5,12670.48,2026-05-27,60270.88
32,5,16902.54,2026-10-29,43368.34
33,5,11953.35,2028-05-19,31414.99
34,6,34568.46,2023-07-09,193856.09
35,6,33821.34,2025-04-01,160034.75
36,6,27120.07,2025-12-11,132914.68
37,7,54669.66,2023-03-07,216731.18
38,7,38666.78,2025-06-10,178064.4
39,7,34171.58,2027-01-02,143892.82
40,7,26268.61,2029-08-14,117624.21
41,7,11385.87,2029-10-08,106238.34
42,7,21458.73,2031-06-25,84779.61
43,7,7405.28,2031-12-26,77374.33
44,7,7579.17,2032-09-10,69795.16
45,8,74276.18,2025-04-05,363217.13
46,8,97205.74,2025-09-17,266011.39
47,8,26290.04,2028-06-18,239721.35
48,8,63730.99,2028-07-08,175990.36
49,8,27373.24,2030-03-26,148617.12
50,8,32785.08,2032-07-07,115832.04
51,8,16139.45,2032-12-02,99692.59
52,9,1406.7,2026-07-08,13925.43
53,9,1705.94,2028-06-22,12219.49
54,9,2682.6,2028-08-06,9536.89
55,9,2519.73,2029-01-20,7017.16
56,9,893.32,2029-07-01,6123.84
57,9,741.77,2030-06-16,5382.07
58,10,6253.5,2022-11-28,117484.45
59,10,11863.91,2022-12-07,105620.54
60,10,23586.84,2022-12-26,82033.7
61,10,24412.34,2022-12-31,57621.36
62,10,12365.75,2023-01-03,45255.61
63,10,9162.62,2023-03-23,36092.99
64,10,6722.15,2023-05-24,29370.84
65,10,7088.35,2023-06-04,22282.49
66,11,85437.07,2022-07-23,299950.43
67,11,58160.52,2023-01-04,241789.91
68,11,44021.66,2024-06-20,197768.25
69,11,17705.87,2024-09-01,180062.38
70,11,31924.86,2025-03-05,148137.52
71,11,18085.0,2026-09-21,130052.52
72,11,35094.95,2027-06-23,94957.57
73,11,9251.52,2028-12-16,85706.05
74,12,16157.22,2022-01-30,45886.27
75,12,7151.32,2022-05-28,38734.95
76,12,2759.51,2023-05-23,35975.44
77,12,8401.31,2023-07-06,27574.13
78,12,5404.08,2024-01-21,22170.05
79,12,1406.05,2025-07-14,20764.0
80,12,2693.11,2026-02-01,18070.89
81,12,2450.62,2026-03-07,15620.27
82,12,4062.88,2027-12-30,11557.39
83,12,3145.96,2031-05-29,8411.43
84,13,12640.18,2022-09-20,66812.74
85,13,14873.63,2022-09-21,51939.11
86,13,14267.45,2023-01-17,37671.66
87,13,2188.69,2023-06-20,35482.97
88,13,3565.96,2026-01-30,31917.01
89,13,1792.37,2026-11-20,30124.64
90,13,5148.34,2027-03-02,24976.3
91,13,3664.14,2027-09-07,21312.16
92,13,3771.15,2027-09-15,17541.01
93,13,944.49,2029-06-27,16596.52
94,14,50382.05,2027-01-17,242311.66
95,14,38465.71,2028-05-31,203845.95
96,14,41042.73,2028-09-15,162803.22
97,14,35983.18,2030-03-28,126820.04
98,15,116810.22,2023-06-07,358263.89
99,15,61362.34,2029-07-07,296901.55
100,15,39052.39,2029-07-22,257849.16
101,15,20324.4,2031-05-06,237524.76
102,16,487.93,2022-07-14,8815.39
103,16,639.36,2024-07-26,8176.03
104,16,2364.99,2026-03-30,5811.04
105,16,1563.67,2026-07-22,4247.37
106,16,858.59,2027-06-13,3388.78
107,17,101971.27,2021-05-12,293401.65
108,17,17702.05,2025-01-03,275699.6
109,17,14471.01,2026-02-23,261228.59
110,18,20188.43,2025-01-09,71867.24
111,18,12205.15,2026-05-05,59662.09
112,18,9755.7,2026-07-16,49906.39
113,18,4829.38,2027-08-24,45077.01
114,18,4358.38,2027-11-16,40718.63
115,18,2122.52,2028-06-18,38596.11
116,19,23724.46,2024-05-27,127701.62
117,19,10610.47,2025-03-26,117091.15
118,19,7896.29,2025-06-23,109194.86
119,19,23703.93,2026-08-11,85490.93
120,19,7512.46,2027-04-02,77978.47
121,19,9901.91,2027-12-10,68076.56
122,19,18605.54,2029-04-15,49471.02
123,20,8919.48,2025-04-21,35693.47
124,20,5438.25,2025-08-15,30255.22
125,20,6147.22,2025-12-01,24108.0
126,20,4360.26,2027-08-23,19747.74
127,20,1102.03,2028-02-09,18645.71
128,20,5098.67,2028-03-05,13547.04
129,20,3242.7,2030-07-19,10304.34
130,21,4337.13,2021-10-17,20007.13
131,21,3713.48,2022-02-02,16293.65
132,21,2207.08,2022-08-06,14086.57
133,21,954.51,2022-12-28,13132.06
134,21,955.81,2023-09-14,12176.25
135,21,1567.2,2023-09-15,10609.05
136,21,2607.75,2024-01-29,8001.3
137,21,839.81,2024-02-23,7161.49
138,21,2112.78,2025-08-09,5048.71
139,21,661.68,2025-12-03,4387.03
140,22,13660.47,2021-10-07,112726.11
141,22,32435.76,2023-01-11,80290.35
142,22,18213.46,2023-10-08,62076.89
143,22,15433.84,2024-01-12,46643.05
144,22,11475.19,2025-01-06,35167.86
145,22,7608.3,2026-04-16,27559.56
146,22,5029.99,2027-09-04,22529.57
147,22,6354.89,2028-02-04,16174.68
148,22,823.52,2030-08-28,15351.16
149,22,3067.39,2031-08-04,12283.77
150,23,7606.0,2022-04-24,47229.03
151,23,11164.39,2022-05-09,36064.64
152,23,3967.9,2023-06-16,32096.74
153,23,3167.61,2023-06-17,28929.13
154,23,4497.01,2023-08-13,24432.12
155,23,2477.37,2023-12-31,21954.75
156,23,1816.18,2024-03-24,20138.57
157,23,5338.88,2024-08-27,14799.69
158,23,931.91,2025-01-27,13867.78
159,23,1285.07,2025-01-30,12582.71
160,24,63279.47,2023-02-07,319364.45
161,24,39587.93,2023-08-08,279776.52
162,24,81962.69,2023-10-05,197813.83
163,24,34756.67,2024-07-11,163057.16
164,25,7406.39,2021-11-24,21865.13
165,25,5261.34,2022-02-15,16603.79
166,25,4875.69,2023-02-03,11728.1
167,25,1327.57,2024-08-13,10400.53
168,25,777.57,2024-12-27,9622.96
169,25,1142.06,2025-09-22,8480.9
170,25,888.89,2027-01-20,7592.01
171,25,1157.19,2027-12-08,6434.82
172,25,1694.28,2028-04-11,4740.54
173,25,1162.87,2031-06-07,3577.67
174,26,8735.94,2023-05-27,39957.08
175,26,6381.01,2023-09-06,33576.07
176,26,9081.82,2023-09-11,24494.25
177,26,7197.98,2024-02-22,17296.27
178,26,4524.96,2025-12-07,12771.31
179,26,2958.4,2025-12-19,9812.91
180,27,87292.56,2025-03-14,271705.21
181,27,65035.27,2027-04-14,206669.94
182,27,51354.29,2027-07-06,155315.65
183,27,37180.57,2027-10-21,118135.08
184,27,8269.38,2028-09-28,109865.7
185,27,11100.07,2030-03-18,98765.63
186,27,19446.6,2031-01-15,79319.03
187,27,13506.51,2032-04-07,65812.52
188,27,16460.23,2032-07-22,49352.29
189,27,9093.22,2032-11-08,40259.07
190,28,837.16,2026-01-10,15859.86
191,28,3383.78,2026-05-11,12476.08
192,28,2770.6,2026-09-09,9705.48
193,28,1189.28,2026-10-09,8516.2
194,28,829.91,2026-11-16,7686.29
195,28,1517.07,2027-04-02,6169.22
196,29,66129.69,2025-01-18,205067.41
197,29,49544.09,2025-05-01,155523.32
198,29,42466.89,2025-08-27,113056.43
199,30,17211.99,2021-10-14,45207.62
200,30,9189.6,2022-04-29,36018.02
201,30,7838.45,2022-12-22,28179.57
202,30,2023.26,2023-02-08,26156.31
203,30,1535.83,2023-12-30,24620.48
204,30,7204.76,2024-08-30,17415.72
205,31,56984.71,2023-12-19,195211.29
206,31,56837.54,2025-05-30,138373.75
207,31,13126.78,2026-04-18,125246.97
208,31,27566.62,2027-01-17,97680.35
209,31,4893.93,2028-09-03,92786.42
210,31,12391.86,2029-05-09,80394.56
211,31,9998.35,2030-12-23,70396.21
212,31,9292.27,2031-08-03,61103.94
213,32,19822.55,2022-08-15,301392.62
214,32,86291.06,2022-09-10,215101.56
215,32,63035.66,2022-10-04,152065.9
216,32,31702.97,2024-02-08,120362.93
217,32,32835.14,2024-04-18,87527.79
218,32,18294.69,2024-05-21,69233.1
219,32,20077.08,2024-08-13,49156.02
220,32,10278.55,2026-01-18,38877.47
221,32,6602.1,2026-03-26,32275.37
222,33,13557.44,2025-03-17,205428.83
223,33,12377.83,2025-07-27,193051.0
224,33,14166.31,2025-12-05,178884.69
225,33,53285.36,2027-08-15,125599.33
226,34,12010.63,2024-10-10,223651.11
227,34,34259.44,2025-03-17,189391.67
228,34,17592.21,2025-03-31,171799.46
229,34,41208.29,2026-02-18,130591.17
230,34,14270.86,2027-04-11,116320.31
231,34,22388.08,2027-07-07,93932.23
232,35,35435.13,2021-06-18,88534.41
233,35,11963.78,2021-07-28,76570.63
234,35,21826.34,2021-07-28,54744.29
235,36,35589.77,2023-05-25,306143.95
236,36,60960.72,2023-12-27,245183.23
237,36,71097.7,2024-08-31,174085.53
238,36,17562.51,2030-01-02,156523.02
239,37,46583.32,2024-02-16,208775.02
240,37,31851.52,2024-12-14,176923.5
241,37,24721.6,2028-04-02,152201.9
242,37,40897.55,2028-09-21,111304.35
243,38,11130.02,2030-08-05,168853.4
244,38,17858.36,2032-01-11,150995.04
245,38,38178.32,2032-08-29,112816.72
246,39,23119.77,2021-10-04,174496.47
247,39,27901.98,2023-01-04,146594.49
248,39,29978.42,2025-12-13,116616.07
249,40,24842.77,2021-10-21,66302.77
250,40,9575.98,2023-04-26,56726.79
251,40,15502.8,2023-07-02,41223.99
252,40,8980.89,2023-09-11,32243.1
253,40,4677.85,2024-01-20,27565.25
254,40,8141.58,2024-06-22,19423.67
255,40,1822.57,2025-06-17,17601.1
256,40,1575.04,2026-03-18,16026.06
257,41,53880.95,2025-01-26,197577.68
258,41,14577.8,2025-12-06,182999.88
259,41,17907.21,2026-07-17,165092.67
260,41,11484.71,2027-01-28,153607.96
261,42,114025.4,2025-10-30,322051.03
262,42,90330.76,2026-02-20,231720.27
263,42,68934.89,2026-06-12,162785.38
264,42,14632.69,2028-01-30,148152.69
265,42,8940.67,2028-10-08,139212.02
266,42,12340.14,2029-12-10,126871.88
267,42,7282.31,2030-09-21,119589.57
268,42,15751.24,2030-11-17,103838.33
269,42,16394.19,2031-01-15,87444.14
270,43,104800.13,2023-05-31,302676.37
271,43,52255.19,2024-08-08,250421.18
272,43,52515.14,2026-04-01,197906.04
273,44,11296.96,2023-11-21,80152.31
274,44,22676.38,2024-03-22,57475.93
275,44,5406.75,2024-04-03,52069.18
276,44,2627.42,2024-04-09,49441.76
277,44,5713.01,2024-04-28,43728.75
278,44,11115.01,2025-09-14,32613.74
279,44,6052.88,2025-10-09,26560.86
280,44,5890.11,2026-01-23,20670.75
281,44,4307.31,2026-05-26,16363.44
282,45,17510.45,2025-02-12,147843.43
283,45,42843.76,2026-11-26,104999.67
284,45,8761.92,2027-02-26,96237.75
285,45,13483.21,2027-03-30,82754.54
286,45,7932.03,2028-04-26,74822.51
287,45,20693.79,2029-03-18,54128.72
288,46,45171.94,2023-02-17,202288.07
289,46,56220.14,2024-01-29,146067.93
290,46,42548.37,2024-04-18,103519.56
291,46,24674.24,2024-05-11,78845.32
292,46,6996.02,2024-08-07,71849.3
293,46,20186.62,2024-08-17,51662.68
294,46,11723.26,2025-01-02,39939.42
295,46,6395.63,2026-08-13,33543.79
296,47,2581.75,2024-10-08,6052.73
297,47,1114.0,2028-01-15,4938.73
298,47,1181.46,2030-10-30,3757.27
299,47,831.75,2032-05-05,2925.52
300,48,57687.55,2024-12-09,400106.85
301,48,99951.89,2025-12-29,300154.96
302,48,42813.94,2026-01-28,257341.02
303,48,30646.14,2026-11-09,226694.88
304,48,17525.92,2029-08-22,209168.96
305,48,10694.94,2029-10-25,198474.02
306,49,36489.68,2022-09-09,195093.31
307,49,44890.93,2025-02-03,150202.38
308,49,9666.12,2025-02-21,140536.26
309,49,16528.87,2026-04-23,124007.39
310,49,22551.2,2029-06-06,101456.19
311,50,12102.45,2026-12-25,56831.38
312,50,13867.81,2027-06-29,42963.57
313,50,11289.24,2028-02-16,31674.33
314,50,4850.17,2028-08-03,26824.16
315,50,3024.66,2029-09-08,23799.5
316,51,5967.35,2027-01-30,104439.87
317,51,17918.05,2032-05-08,86521.82
318,51,7594.99,2033-03-03,78926.83
319,51,11005.39,2034-03-27,67921.44
320,52,32132.34,2024-02-19,200692.57
321,52,49140.64,2027-02-01,151551.93
322,52,8384.81,2028-07-22,143167.12
323,53,39080.63,2025-06-26,321504.89
324,53,72497.27,2026-02-01,249007.62
325,53,45134.83,2026-03-23,203872.79
326,53,38900.79,2026-05-22,164972.0
327,53,36232.68,2027-03-07,128739.32
328,53,20158.89,2027-08-30,108580.43
329,53,9456.7,2027-12-19,99123.73
330,53,27995.63,2028-01-28,71128.1
331,54,83559.59,2028-05-10,309235.46
332,54,63423.3,2029-03-01,245812.16
333,54,35707.31,2031-04-21,210104.85
334,55,18332.71,2023-11-07,201240.44
335,55,37262.79,2024-02-18,163977.65
336,55,48977.81,2024-03-12,114999.84
337,55,20046.68,2024-04-10,94953.16
338,56,17857.89,2023-08-28,90166.44
339,56,17462.37,2027-07-22,72704.07
340,56,8863.78,2028-05-14,63840.29
341,56,9428.81,2029-01-28,54411.48
342,57,78219.34,2025-06-24,372082.45
343,57,61554.55,2025-07-02,310527.9
344,57,22940.95,2025-07-26,287586.95
345,57,57523.76,2025-08-31,230063.19
346,57,28149.27,2025-11-01,201913.92
347,57,46848.28,2026-01-16,155065.64
348,58,118578.21,2025-04-20,283816.2
349,58,67996.28,2025-12-16,215819.92
350,58,27199.84,2028-02-04,188620.08
351,58,48473.36,2028-09-04,140146.72
352,59,13527.14,2024-01-02,235839.37
353,59,67525.28,2024-01-28,168314.09
354,59,48264.29,2024-01-28,120049.8
355,59,17114.44,2024-05-29,102935.36
356,60,31330.56,2024-10-14,150400.82
357,60,35822.59,2024-11-07,114578.23
358,60,16458.76,2024-11-17,98119.47
359,60,24633.07,2025-08-18,73486.4
360,60,12660.75,2026-06-24,60825.65
361,60,13956.4,2026-09-23,46869.25
362,60,10609.41,2028-10-31,36259.84
363,60,10524.6,2029-12-05,25735.24
364,61,17033.43,2021-04-22,59695.02
365,61,12526.58,2022-08-11,47168.44
366,61,10247.09,2023-12-07,36921.35
367,61,11064.74,2024-07-11,25856.61
368,61,7357.71,2024-12-24,18498.9
369,61,3033.3,2025-03-24,15465.6
370,61,1597.8,2025-05-29,13867.8
371,61,1071.28,2027-04-26,12796.52
372,61,2944.49,2027-05-25,9852.03
373,62,118406.92,2022-08-09,294452.41
374,62,68170.46,2022-08-13,226281.95
375,62,19504.95,2022-10-10,206777.0
376,62,54081.92,2022-12-17,152695.08
377,62,39457.06,2023-02-24,113238.02
378,62,11149.76,2023-03-07,102088.26
379,62,21276.46,2023-04-07,80811.8
380,62,21177.5,2023-04-17,59634.3
381,62,14571.43,2023-06-29,45062.87
