LoanID,CustomerID,LoanType,Amount,InterestRate,StartDate,EndDate,Status
1,955,Personal,30202.45,5.4,10/2/2023,6/25/2027,Closed
2,401,Business,37122.74,5.6,5/18/2024,2/26/2026,Closed
3,258,Mortgage,43411.78,6.2,10/24/2023,10/2/2025,Closed
4,39,Mortgage,40030.15,4.09,4/1/2023,1/21/2029,Active
5,705,Business,18045.3,7.27,11/30/2023,8/16/2027,Active
6,6,Business,45716.89,4.82,8/8/2022,10/15/2029,Active
7,520,Auto,48722.01,3.68,1/30/2024,5/29/2029,Closed
8,106,Business,46127.88,4.39,10/11/2023,5/27/2030,Active
9,444,Business,24917.1,5.63,6/17/2024,4/21/2029,Active
10,818,Personal,28108.45,2.9,9/25/2022,7/20/2027,Active
11,266,Personal,1522.99,5.31,4/27/2024,7/31/2026,Active
12,114,Auto,8763.58,7.21,6/27/2022,2/22/2026,Closed
13,638,Business,27202.07,2.68,1/12/2024,4/29/2028,Closed
14,934,Auto,39472.14,1.83,4/29/2023,5/6/2029,Active
15,175,Mortgage,17919.33,5,6/22/2022,5/15/2028,Closed
16,828,Auto,34715.61,5.27,2/18/2023,6/25/2025,Closed
17,606,Mortgage,5439.6,5.53,6/23/2022,6/16/2030,Active
18,351,Business,40082.27,1.86,3/9/2023,1/17/2028,Active
19,425,Mortgage,37406.42,6.66,8/15/2022,10/10/2027,Active
20,153,Auto,25053.57,5.45,11/13/2022,3/19/2030,Active
21,871,Business,43874.74,2.51,6/25/2023,6/9/2027,Active
22,753,Business,36195.22,4.25,11/13/2023,11/12/2025,Active
23,924,Auto,46426.82,5.21,12/9/2022,1/13/2027,Active
24,326,Mortgage,20179.83,6.89,9/11/2022,12/25/2025,Active
25,447,Business,8432,4.94,11/11/2022,5/28/2026,Closed
26,555,Business,46260.91,5.98,5/10/2023,5/25/2027,Closed
27,877,Mortgage,7504.93,3.66,11/11/2022,2/11/2027,Closed
28,526,Business,10212.37,2.37,3/20/2023,1/12/2028,Active
29,634,Personal,9711.66,6.74,12/19/2022,5/7/2026,Closed
30,48,Mortgage,19973.31,3.11,1/6/2023,2/25/2027,Closed
31,573,Business,41149.65,6.43,6/25/2022,9/15/2027,Closed
32,934,Mortgage,41043.97,4.71,12/30/2022,5/24/2026,Active
33,652,Auto,44709.67,6.03,6/15/2023,2/3/2027,Active
34,656,Mortgage,22413.86,3.44,10/4/2022,1/16/2028,Closed
35,528,Auto,49622.78,7.31,8/9/2023,2/14/2028,Active
36,873,Personal,47778.12,6.04,2/22/2024,2/2/2027,Closed
37,441,Mortgage,12032.11,6.37,12/11/2023,7/2/2025,Closed
38,2,Business,44491.62,3.8,11/13/2023,4/5/2029,Active
39,482,Auto,31567.12,1.53,2/2/2023,2/10/2029,Closed
40,479,Mortgage,32137.17,7.18,3/30/2024,8/31/2028,Active
41,60,Auto,24024.6,2.26,8/19/2022,7/11/2027,Active
42,164,Business,21847.19,3.71,6/15/2023,11/11/2028,Active
43,5,Mortgage,16711.44,5.28,9/7/2022,8/19/2025,Active
44,919,Mortgage,44856.14,4.77,6/8/2024,9/20/2026,Closed
45,938,Business,17091.76,4.39,11/23/2022,7/31/2028,Active
46,555,Auto,9817.53,3.34,5/8/2024,10/4/2027,Closed
47,164,Personal,25567.3,6.2,6/7/2024,11/14/2028,Closed
48,168,Auto,16421.95,2.6,11/24/2023,10/20/2026,Closed
49,711,Personal,48140.75,3.66,9/25/2022,4/26/2029,Closed
50,863,Auto,45019.86,2.2,1/17/2023,5/29/2027,Closed
51,161,Auto,23937.64,2.05,2/5/2024,1/17/2027,Closed
52,567,Business,33951.85,7.38,11/1/2023,3/27/2026,Closed
53,14,Auto,6982.16,7.4,2/2/2024,11/17/2027,Active
54,899,Auto,5301.87,1.65,1/27/2023,2/8/2029,Active
55,842,Auto,5989.6,1.63,10/14/2023,4/4/2029,Active
56,505,Auto,31965.56,1.75,9/28/2023,8/27/2029,Closed
57,753,Auto,4319.53,4.07,11/16/2023,3/5/2028,Active
58,222,Personal,24168.27,5.7,9/15/2022,12/4/2028,Active
59,804,Business,28526.01,6.86,7/24/2023,4/12/2028,Closed
60,459,Personal,26035.49,6.52,5/22/2023,6/9/2026,Active
61,44,Personal,34044.88,2.57,6/13/2024,12/29/2029,Active
62,618,Mortgage,19398.22,1.81,12/14/2023,1/28/2026,Closed
63,204,Business,40748.73,4.13,6/17/2024,6/25/2026,Active
64,309,Mortgage,10975.7,2.73,1/20/2023,2/9/2030,Closed
65,631,Mortgage,7708.27,3.38,3/9/2024,12/8/2028,Active
66,582,Personal,44785.74,3.84,7/30/2023,1/18/2026,Closed
67,891,Personal,22103.28,2.75,8/31/2022,8/5/2029,Closed
68,359,Personal,5117.87,3.34,6/7/2024,10/18/2029,Closed
69,710,Auto,19268.8,4.02,6/27/2023,11/26/2026,Active
70,377,Mortgage,37953.23,5,9/24/2022,6/25/2026,Active
71,939,Auto,19692.24,2.9,5/21/2023,9/4/2029,Active
72,547,Business,31251.1,4.97,11/9/2022,6/25/2029,Closed
73,800,Personal,12752.82,5.54,12/1/2023,4/27/2027,Active
74,132,Personal,1383.91,2.43,12/3/2023,12/24/2026,Active
75,247,Personal,34883.59,4.65,4/28/2024,10/1/2028,Active
76,107,Business,1199.3,2.37,11/29/2022,10/5/2028,Active
77,626,Personal,25287.3,3.05,6/21/2023,11/18/2028,Active
78,797,Auto,13012.79,6.51,6/12/2024,7/2/2028,Closed
79,952,Business,22008.33,3.32,1/11/2024,5/20/2029,Active
80,832,Business,32963.54,3.83,8/28/2023,8/30/2027,Active
81,476,Auto,24354.96,4.54,1/1/2024,8/10/2028,Closed
82,976,Business,10924.33,4.52,1/26/2023,4/26/2029,Closed
83,211,Business,10483.07,1.85,12/11/2022,6/30/2025,Active
84,207,Personal,44263.46,1.76,5/10/2023,4/19/2030,Closed
85,31,Mortgage,30826.59,7.46,3/7/2024,8/15/2029,Active
86,302,Business,25499.27,5.29,4/11/2023,10/20/2029,Closed
