LoanID,CustomerID,LoanType,Amount,InterestRate,StartDate,EndDate,Status
1,1,Business,484037.53,8.68,2024-09-25,2034-09-23,Rejected
2,1,Auto,149481.07,11.37,2023-04-11,2027-04-10,Closed
3,2,Mortgage,91867.88,7.15,2025-01-28,2026-01-28,Closed
4,3,Business,77417.44,11.03,2022-05-21,2031-05-19,Rejected
5,4,Personal,268156.64,12.24,2023-07-28,2031-07-26,Closed
6,4,Business,228424.55,4.48,2023-04-05,2027-04-04,Closed
7,5,Personal,271400.84,12.21,2023-01-21,2033-01-18,Approved
8,7,Mortgage,437493.31,5.59,2024-02-23,2033-02-20,Rejected
9,7,Personal,15332.13,13.66,2021-09-06,2031-09-04,Rejected
10,8,Business,123737.95,8.08,2022-09-10,2023-09-10,Ongoing
11,8,Auto,385387.5,8.82,2022-03-17,2030-03-15,Approved
12,9,Business,62043.49,7.51,2021-09-18,2031-09-16,Rejected
13,11,Auto,79452.92,12.65,2021-07-05,2030-07-03,Rejected
14,11,Auto,292693.71,5.25,2025-01-15,2031-01-14,Ongoing
15,12,Auto,475074.11,10.91,2022-11-06,2031-11-04,Ongoing
16,13,Mortgage,9303.32,11.76,2021-07-07,2027-07-06,Ongoing
17,13,Auto,395372.92,4.33,2020-12-01,2026-11-30,Rejected
18,14,Business,92055.67,11.61,2024-11-03,2029-11-02,Rejected
19,14,Auto,151426.08,3.44,2022-08-20,2029-08-18,Approved
20,15,Mortgage,44612.95,9.71,2024-11-04,2031-11-03,Rejected
21,15,Mortgage,24344.26,6.83,2021-05-22,2026-05-21,Approved
22,17,Business,126386.58,6.34,2021-08-30,2031-08-28,Closed
23,17,Business,54835.03,8.32,2021-12-11,2025-12-10,Closed
24,18,Personal,382643.92,9.66,2022-03-03,2025-03-02,Rejected
25,20,Business,29271.52,12.43,2021-11-11,2031-11-09,Rejected
26,20,Auto,48693.02,4.53,2022-09-27,2026-09-26,Ongoing
27,21,Auto,358997.77,6.95,2024-04-18,2033-04-16,Closed
28,23,Business,16697.02,11.18,2025-01-26,2031-01-25,Approved
29,24,Business,271197.1,8.8,2024-12-10,2025-12-10,Ongoing
30,28,Business,62419.61,8.99,2021-09-17,2024-09-16,Ongoing
31,28,Auto,252196.0,8.74,2022-10-30,2031-10-28,Ongoing
