TransactionID,MerchantID,Amount,PaymentMethod,Date
1,1,7663.42,BankTransfer,2025-05-13
2,1,6187.51,Card,2025-02-07
3,1,2419.84,Card,2025-03-18
4,1,7033.64,Card,2025-03-05
5,1,6700.19,Crypto,2025-05-14
6,1,8879.91,Card,2025-03-29
7,1,3349.93,MobilePay,2025-02-26
8,1,6524.25,MobilePay,2025-04-09
9,1,8937.57,QRPay,2025-06-05
10,1,9134.8,QRPay,2024-12-25
11,1,995.16,MobilePay,2025-04-27
12,1,6615.95,BankTransfer,2025-03-26
13,1,8425.67,Crypto,2025-06-11
14,2,7993.15,Card,2025-01-18
15,2,1862.72,QRPay,2025-03-20
16,2,9407.01,Card,2024-12-23
17,2,368.86,QRPay,2025-06-01
18,2,5713.54,Card,2025-03-10
19,2,2413.02,MobilePay,2025-04-01
20,2,3012.06,BankTransfer,2025-02-19
21,2,2981.73,QRPay,2025-01-10
22,2,821.91,Crypto,2025-03-11
23,2,6340.87,QRPay,2025-05-27
24,2,5845.6,QRPay,2025-03-30
25,2,2015.98,QRPay,2025-01-13
26,2,7621.08,BankTransfer,2025-05-02
27,2,2869.99,QRPay,2025-04-03
28,3,7304.26,MobilePay,2025-04-12
29,3,5954.06,BankTransfer,2025-01-28
30,3,4557.02,Crypto,2025-05-19
31,3,9916.45,Card,2025-05-11
32,3,1756.85,BankTransfer,2025-04-14
33,3,2249.44,Card,2025-02-12
34,3,7937.56,MobilePay,2025-02-21
35,3,7911.49,QRPay,2025-01-22
36,3,9451.36,MobilePay,2025-06-03
37,3,2836.29,MobilePay,2025-05-22
38,3,1884.91,BankTransfer,2025-03-15
39,3,3942.74,BankTransfer,2024-12-29
40,4,8044.78,QRPay,2024-12-31
41,4,1795.89,QRPay,2024-12-25
42,4,9254.98,QRPay,2025-04-03
43,4,7939.33,Crypto,2025-01-23
44,4,3070.28,BankTransfer,2025-03-29
45,4,2589.46,Crypto,2024-12-30
46,4,32.1,Crypto,2025-02-19
47,4,8639.67,QRPay,2025-04-06
48,4,775.97,QRPay,2024-12-24
49,4,4903.24,Crypto,2025-04-11
50,4,8674.4,BankTransfer,2025-03-31
51,4,1292.91,BankTransfer,2025-04-03
52,4,7664.72,QRPay,2025-03-05
53,4,1779.11,Card,2024-12-29
54,4,2579.99,MobilePay,2025-02-10
55,5,6468.91,MobilePay,2025-05-11
56,5,7201.35,BankTransfer,2025-03-06
57,5,9006.84,BankTransfer,2025-03-27
58,5,9302.64,Card,2025-05-28
59,5,4345.43,Card,2025-04-23
60,5,6028.75,Card,2025-02-09
61,5,9933.43,BankTransfer,2025-03-25
62,5,654.03,Card,2025-05-04
