MerchantID,MerchantName,Industry,Location,CustomerID
1,Sanchez Ltd,Hospitality,Brookston,484
2,"Frey, Scott and Freeman",Retail,Port Perry,246
3,"Howell, Carlson and Williams",Finance,Johnsonside,815
4,"Krause, Brown and Bryant",Finance,Port Sarah,298
5,Lane Inc,Finance,South Connie,870
6,Williams and Sons,Technology,South Jennifer,238
7,Ruiz-Smith,Technology,West Ronnie,18
8,"Davis, Smith and Morse",Hospitality,Johnsonhaven,381
9,Arroyo-Johnson,Finance,South Julieville,32
10,White LLC,Technology,Connieshire,273
11,Cunningham-Howell,Technology,Port Michelle,800
12,Case Ltd,Technology,New Nicole,260
13,Johnson-Lambert,Hospitality,Lake Sarah,572
14,Molina-Davis,Hospitality,Samanthafurt,377
15,Martinez LLC,Finance,North Michaelton,644
16,"Williams, Lee and Lawrence",Technology,Lake John,177
17,Hall-Thomas,Retail,New Carlos,49
18,Vaughn Inc,Technology,South Stephanieport,240
19,Hawkins LLC,Retail,Hallburgh,357
20,"Lee, Nguyen and Moore",Technology,New Seanborough,703
21,"Garcia, Mccarty and Wallace",Finance,Lake Brett,863
22,"Jones, Erickson and Hahn",Technology,Port Robertville,763
23,"Buchanan, Wagner and Martin",Hospitality,North Robertfurt,7
24,"Gallagher, Grimes and Johnson",Retail,Bradleymouth,534
25,Robinson and Sons,Finance,Dawnhaven,843
26,Parrish Group,Retail,Wileyfort,933
27,"Lambert, Thomas and Hall",Retail,South Paulfort,791
28,Farley-Johnson,Finance,Pamelamouth,377
29,Munoz-Pearson,Hospitality,Acostaport,588
30,Thompson PLC,Hospitality,Lake Sara,676
31,Williams-Hudson,Technology,Lake Jacqueline,785
32,"Jones, Chase and Matthews",Finance,East Carolyn,463
33,Hopkins Group,Finance,Port Marktown,803
34,Phillips and Sons,Retail,Meghanside,980
35,"Wilson, Gonzalez and Jackson",Retail,Gregoryton,883
36,Wilson-Graham,Technology,Williamstown,186
37,"Bryant, Wagner and Rivera",Finance,Woodchester,41
38,Conley PLC,Hospitality,Dunntown,617
39,"Crawford, Anderson and Owens",Finance,North Tonyberg,769
40,Davis-Montgomery,Technology,Lake Matthew,299
41,Ortiz and Sons,Technology,Pierceville,648
42,Sexton Inc,Hospitality,South Robertotown,699
43,Wagner-Hernandez,Hospitality,Emilyview,802
44,"Cooper, Escobar and Spencer",Retail,Thomasstad,937
45,Robertson Ltd,Technology,West Jimmy,223
46,Perez-Bryant,Finance,New Kellitown,237
47,Sullivan-Peterson,Technology,South Ryanside,455
48,Thomas Inc,Retail,South Carlatown,959
49,Chase Inc,Finance,Charlesborough,508
50,Bennett-Clark,Retail,Pottertown,264
51,Jones-Rangel,Finance,Chelseafurt,668
52,Cook-Byrd,Retail,Bridgesmouth,353
53,Garcia Group,Technology,West Christine,257
54,Davis Inc,Technology,Rachelport,807
55,Kim-Greene,Hospitality,Rickychester,600
56,"Villarreal, Martinez and Mann",Hospitality,Nguyenmouth,380
57,"Mills, Macdonald and Wood",Hospitality,Johnsonchester,968
58,"Hernandez, Perez and Hall",Technology,New Benjaminmouth,595
59,"Davis, Doyle and Sanchez",Retail,East Mariah,294
60,Ortiz Group,Retail,Port Gregory,572
61,"Holloway, Williams and Shaffer",Finance,Devintown,266
62,Reynolds-Burton,Technology,Port Veronica,586
63,King and Sons,Hospitality,Port William,100
64,Serrano-Myers,Hospitality,Johnsonside,101
65,Delgado-Wright,Retail,Port Danielside,355
66,Woods-Gaines,Finance,Port Peter,399
67,"Gutierrez, Chandler and Mcfarland",Finance,Michaelhaven,827
68,"Coleman, Ray and Collins",Technology,North Leslieville,823
69,"Floyd, Schwartz and Zimmerman",Finance,Masonmouth,68
70,Davis LLC,Technology,Whitefurt,866
71,Jackson-Brown,Retail,Collinsfort,394
72,"Haney, Herrera and Yu",Technology,East Melissa,751
73,Grant-Wade,Finance,Port Michael,65
74,Mitchell Inc,Technology,Spencerchester,107
75,Gonzalez-Harvey,Finance,East Lauren,922
76,Snyder LLC,Finance,Clarkchester,782
77,"Boyle, Moss and Perry",Technology,North Brianna,989
78,Le-Wright,Retail,Cynthiastad,31
79,"Davis, Smith and Massey",Technology,Williamborough,411
80,Johnson-Petty,Finance,South Dianemouth,199
81,Thomas-Tucker,Hospitality,Timothybury,422
82,"Marshall, Jones and Acosta",Hospitality,Port Dennishaven,865
83,Stevens and Sons,Technology,Matthewhaven,434
84,Chen Inc,Hospitality,Port Tyler,955
85,Thomas-Hall,Retail,Lake Anthony,185
86,Miller Ltd,Technology,North Judith,930
87,"Leonard, Shields and Decker",Finance,Salinasburgh,556
88,"Tucker, Johnson and Lambert",Finance,New Edwardbury,346
89,Hill LLC,Hospitality,Jamieview,344
90,"Paul, Burnett and Holt",Finance,Georgeton,565
91,"Moran, Johnson and Nelson",Finance,Lake Christopher,430
92,Brewer Inc,Finance,Port Jack,472
93,Blackwell-Johnson,Hospitality,Alexanderland,437
94,Brown-Reese,Retail,East Brianbury,225
95,Chen and Sons,Hospitality,Allenport,887
96,Young Group,Retail,Lake Amyhaven,114
97,Wilson and Sons,Hospitality,South Melissafurt,284
98,"York, Smith and Phelps",Technology,New Abigail,576
99,"Young, Nguyen and Anthony",Finance,Turnerport,85
100,Love-Perry,Technology,Mikaylahaven,901
101,Archer PLC,Technology,Maryshire,495
102,"Watkins, Grimes and Johnson",Technology,New Timothy,921
103,"Davis, Williams and Mendoza",Technology,Bakerchester,706
104,"Mullen, Hunter and Rodriguez",Retail,West Davidborough,558
105,Jackson and Sons,Technology,Hillside,68
106,Hall-Reed,Finance,Hawkinschester,526
107,"Edwards, Solis and Pruitt",Hospitality,New Christina,708
108,"Robertson, Roberts and Gardner",Hospitality,Lake Jeanette,493
109,Vargas-Williams,Finance,Lake Jonathanshire,965
110,Williams-Collins,Hospitality,Claytonton,809
111,Vasquez-Stewart,Retail,Port Matthewmouth,524
112,Kim-Williams,Hospitality,Martinezfurt,938
113,"Singleton, Wong and Phillips",Hospitality,Lake Calvin,497
114,Washington-King,Retail,Zacharyburgh,29
115,Smith-Parker,Technology,Port Lance,607
116,Edwards Ltd,Finance,Collinsside,12
117,Anderson-Thomas,Hospitality,North Tracy,203
118,Jackson Inc,Hospitality,East Robertton,707
119,Harrell-Gallagher,Retail,New Ruben,284
120,"Jones, Mueller and Leonard",Finance,Williebury,726
121,"Lewis, Cooke and Singh",Hospitality,East James,156
122,"Kent, Warren and Richards",Finance,Port Collinton,806
123,Ferguson LLC,Hospitality,Port Heatherville,132
124,"Barron, Reese and Curtis",Technology,West Lisachester,195
125,"Mitchell, Riley and Castaneda",Finance,West Thomasbury,946
126,Hicks Group,Technology,Port Laurieborough,984
127,Wolf Ltd,Retail,Port Bradley,106
128,Zuniga LLC,Finance,Lake Tracey,138
129,Wade Inc,Technology,Port Pamelaport,588
130,"Clements, Ibarra and Harrison",Finance,Benjaminton,942
131,Moss-West,Finance,Port Katie,964
132,Miles-Ellis,Retail,New Erinfurt,516
133,Frank LLC,Technology,East Beverly,73
134,Jones-Farmer,Retail,New Kayla,275
135,Stephens-Baker,Finance,Harrisside,453
136,Wolfe PLC,Finance,West Miguel,855
137,Morgan-Berry,Retail,North Christopherbury,394
138,"Gutierrez, Lloyd and Maddox",Hospitality,Port William,120
139,Marks-Ruiz,Technology,Jenningsview,631
140,Warren LLC,Hospitality,Mitchellhaven,537
141,Turner LLC,Retail,Kimtown,609
142,Peters-Duran,Finance,West Martinton,146
143,Rogers Group,Finance,Cookville,524
144,"Wood, Arnold and Watson",Finance,Isaiahton,902
145,Jones Ltd,Retail,Rodriguezmouth,96
146,Howard PLC,Retail,Lake Kim,580
147,"Sanchez, Anderson and Williams",Hospitality,Hannahville,572
148,Graham PLC,Hospitality,Anthonyside,703
149,"Wallace, Phillips and White",Technology,Port Gabrielleshire,792
150,Coleman Group,Technology,Raymondtown,38
151,"Conner, Robinson and Wright",Hospitality,Turnerland,445
152,Medina-Harper,Retail,Lisafurt,685
153,Romero PLC,Hospitality,Lake Robert,341
154,Mullins-Smith,Finance,East Joshua,289
155,Wagner and Sons,Hospitality,North Alexander,384
156,Smith-Parker,Technology,New Samuelchester,63
157,"Medina, Payne and Carlson",Technology,Dyerland,794
158,"Liu, Bryant and Davis",Technology,Jamieborough,163
159,Singleton Inc,Retail,Morganview,307
160,Lane-Baldwin,Technology,East Elizabethmouth,644
161,"Long, Anderson and Curtis",Technology,Mooreberg,946
162,Banks-Lee,Hospitality,Gonzalezside,516
163,Graves Ltd,Finance,Lake Rachelberg,398
164,Perez Group,Finance,West Jennifer,686
165,Chen and Sons,Technology,West Cathyport,444
166,Ramsey-Freeman,Finance,South Matthew,324
167,Baker-Gibbs,Hospitality,Port Stephanie,769
168,Maynard LLC,Finance,East Juanhaven,419
169,Webster-Hickman,Retail,South Jennifershire,320
170,Conway-Yang,Technology,East Jennifer,661
171,Hess-Wilson,Hospitality,West Tylerport,774
172,Ruiz-Lara,Hospitality,Lake Mariah,689
173,"Hester, Lane and Martinez",Technology,West Michelle,836
174,"Figueroa, Clark and Hill",Retail,Lake Zachary,883
175,Cortez-Green,Hospitality,Jeremybury,761
176,Moody-Barrera,Hospitality,Richardside,501
177,Martin Inc,Hospitality,North Crystal,193
178,Wilson and Sons,Hospitality,West Cheryl,987
179,Reyes and Sons,Finance,Herreraborough,675
180,"Walters, Carter and Juarez",Technology,Lake Matthew,860
181,"Clark, Mendoza and Perkins",Retail,Greeneton,533
182,Myers-Dyer,Retail,Codyfurt,616
183,"Thomas, Cox and Williams",Technology,East Markfurt,318
184,"Nichols, Stevens and Jensen",Technology,North Jamesland,576
185,Olson-Mosley,Retail,New Aliciaville,787
186,Murphy Ltd,Hospitality,New William,25
187,Zuniga-Moore,Technology,South Olivia,144
188,Cooper-Garrison,Finance,Port Jenniferbury,240
189,"Hickman, Pennington and Wright",Technology,Kevinmouth,625
190,"Jones, Osborne and Jones",Retail,Sanchezton,586
191,Anderson Ltd,Hospitality,Sheriview,96
192,"Frank, Wilson and Santiago",Technology,Keithland,488
193,Evans Inc,Finance,Christyborough,837
194,"Martin, Holland and Smith",Technology,South Grace,722
195,"Washington, Hutchinson and Marquez",Technology,East Candice,729
196,Davis LLC,Hospitality,Marychester,578
197,Ward-Andersen,Finance,Port Lindatown,82
198,James Ltd,Hospitality,West Ronaldtown,13
199,"Hall, Roberts and Gonzalez",Technology,Cherylton,152
200,Lee-Brock,Finance,Kevinside,29
201,Haney Group,Retail,Kaneside,124
202,Mendez-Obrien,Retail,West Williammouth,386
203,Becker-Lowery,Hospitality,New Kimberlyfort,293
204,Gibson Ltd,Finance,Joseport,771
205,Spence-Martinez,Technology,Port Richard,156
206,Jones Ltd,Retail,Lake Samuelfort,644
207,Cook-Porter,Hospitality,Derekton,893
208,"Mason, Mooney and Hardy",Hospitality,North Sue,362
209,Morales-Le,Finance,Stephensmouth,158
210,"Grant, Stewart and Boyd",Technology,Jonesport,298
211,"Peterson, Adams and Gibson",Hospitality,West Mary,473
212,"Webster, Yang and Schwartz",Finance,West Mindychester,820
213,Brennan Ltd,Hospitality,Port Thomasborough,859
214,"Cortez, Jones and Reyes",Hospitality,Jameschester,741
215,"Payne, Pugh and Hernandez",Retail,Lake Teresa,435
216,"Petersen, Allen and Clark",Finance,Valerieland,946
217,"Dougherty, Harris and Ford",Technology,New Kristin,267
218,"Medina, Gonzalez and Nelson",Technology,South Joshuamouth,940
