TransactionID,CustomerID,DeviceID,AppVersion,TransactionType,Amount,Date
1,1,fe639bbc-e4d3-4c0d-b89d-fc19ca5f6244,1.2.0,BalanceCheck,994.29,2023-11-02 02:19:31
2,1,17fb176d-e0db-4bec-a16c-cce1f701e7d8,3.0.0,BillPay,371.96,2024-01-23 16:28:29
3,2,2b067f6d-2964-4e27-b6ce-269334c81d31,1.1.2,Transfer,935.14,2024-03-01 15:06:21
4,2,bdb5704c-7eb6-459e-a254-55afababc3db,2.1.0,BalanceCheck,614.47,2024-08-23 16:54:27
5,2,2a9f14d7-07e3-4c38-880f-571fbe8b72cb,3.0.0,BillPay,585.75,2023-12-23 06:31:18
6,2,1ad035c9-c448-4b65-b28a-ac07f181fd7f,1.2.0,TopUp,705.55,2023-10-11 18:27:55
7,2,b76542e0-d466-4101-9c46-ea81facca006,3.0.0,Transfer,782.84,2023-09-13 07:46:44
8,3,ed1394f4-e2b3-4686-8846-26dd8075db00,2.0.1,TopUp,285.29,2025-01-21 00:52:48
9,3,c7823594-ab02-4ea1-8e35-2ab9cd59d36d,3.0.0,QRPayment,790.35,2024-08-25 23:38:07
10,3,2f85dc25-cda0-49ad-a74e-12a7ac7d18c1,1.0.0,QRPayment,946.88,2024-10-29 04:14:57
11,4,ed17cb56-8870-421d-956e-7a6b604e6739,2.1.0,BalanceCheck,40.92,2025-01-19 01:50:14
12,4,1d5c1700-3cf5-4c2d-9a11-9ef5ea4699ac,2.1.0,BillPay,852.6,2024-12-13 04:05:17
13,5,b7875fb0-320e-400e-a924-071b5a174654,2.0.1,BillPay,777.44,2024-11-07 23:31:48
14,5,802d8884-84d0-4366-8950-cee59e96f922,1.0.0,Transfer,85.71,2025-05-07 00:15:29
15,5,58fe699a-1e34-434b-a7fb-faa482a69fd7,3.0.0,BalanceCheck,621.74,2025-01-12 22:28:41
16,5,e2cac067-e074-4964-aad4-ccc7320fbf85,2.1.0,TopUp,235.0,2023-12-04 23:51:09
17,6,c41cbbce-abd9-4883-80e0-d633ec6f24bb,1.1.2,BillPay,429.09,2024-03-27 08:49:00
18,6,a0fd581d-ccb1-422e-b000-e4349ab2cb48,2.0.1,Transfer,641.34,2024-04-23 18:57:37
19,6,94035e04-b4f4-4ac2-923c-eee16941fadf,2.0.1,QRPayment,572.24,2025-03-04 14:08:43
20,7,d2e7e8b7-96c2-4010-9ca9-6db7505e601a,2.1.0,BillPay,79.29,2025-05-07 07:09:35
21,7,46c50e67-5332-487a-851b-45f2611c35a9,1.1.2,BillPay,522.07,2024-05-10 01:34:18
22,8,ad3ba129-caac-46b5-8a36-8e9a4c728ea5,2.0.1,Transfer,803.22,2025-04-21 00:29:50
23,8,7732f3c9-434f-4896-8484-b1237306341a,3.0.0,QRPayment,993.82,2025-01-13 13:49:52
24,8,1394a6ab-73f4-44b1-ab8d-7255495bf7f5,3.0.0,QRPayment,946.23,2024-04-20 23:21:27
25,8,ae4fdca6-7ca5-4892-baa3-176ca18235a2,2.1.0,TopUp,430.58,2024-12-29 21:33:06
26,9,fdac6178-cc04-4fbc-8125-3907c2b81d8f,3.0.0,TopUp,977.24,2024-09-06 01:01:11
27,9,2f7e1114-f910-48a7-9e41-54ddc2b6d0b5,2.0.1,QRPayment,288.59,2024-08-26 11:50:05
28,9,a6366af9-52b6-4118-b74e-29c91e2ab1fb,1.1.2,BalanceCheck,270.03,2024-09-19 06:48:32
29,9,bd538e0a-35c4-4398-b0df-2e68a05a01fe,3.0.0,QRPayment,688.75,2024-08-20 19:15:02
30,10,4d2b1fee-5d2f-458a-b736-1c7931334275,3.0.0,TopUp,942.26,2024-06-05 05:37:04
31,11,e2cfce64-d3b1-45df-a66c-2a1032fd0fed,1.1.2,TopUp,223.26,2023-10-03 10:37:43
32,11,899845bb-db5e-4525-8b70-f1b3bc501e5b,1.0.0,Transfer,264.09,2024-04-12 05:04:03
33,12,b34c570f-a934-4450-a2f2-aabca024d905,1.0.0,TopUp,288.75,2023-08-23 12:50:18
34,12,9dc69d2c-e2e3-4a29-bdbc-73044d9a79ab,1.2.0,QRPayment,82.2,2023-06-26 23:57:42
35,13,637d7db4-a939-4eaf-ac47-58381fbcd2a6,3.0.0,Transfer,530.81,2023-11-29 18:38:08
36,13,9c241525-3ade-4378-b9b2-18db129324f5,2.0.1,BalanceCheck,886.9,2023-09-06 10:24:14
37,13,5580b8e7-031a-41a6-8916-fe374861c454,1.0.0,BalanceCheck,63.87,2024-12-08 03:32:32
38,13,7837a12b-ddc3-43c8-a549-135e46270a1a,3.0.0,BillPay,530.58,2025-04-25 17:15:57
39,13,5a43110c-d844-4bb8-87e3-33ac241ac9f1,3.0.0,Transfer,110.57,2024-08-04 15:06:32
40,14,d623c007-b31b-4cde-916d-51140f12ed96,2.1.0,QRPayment,306.55,2024-12-28 13:07:02
41,14,180d47be-ec98-4b64-9846-67eed52651be,1.2.0,TopUp,66.88,2024-09-30 19:12:27
42,14,90f550dc-7fa5-4f34-a088-6c618798e166,1.0.0,QRPayment,672.26,2024-10-02 14:22:40
43,15,5d1ce57a-6678-48b5-8b5a-167203440000,3.0.0,QRPayment,805.76,2025-03-27 23:06:03
44,16,c6f3ad0a-9bea-4062-99d9-54ea09bbd86f,1.1.2,BillPay,944.86,2024-08-24 19:43:19
45,16,fc3457b4-3632-4011-a845-4090303255a6,1.2.0,BalanceCheck,955.55,2024-04-20 13:20:49
46,16,3717f436-ac1e-4a5c-adee-b428e73ad43e,3.0.0,TopUp,937.28,2023-09-01 14:49:55
47,16,8c81aada-0597-4675-9093-f09c72562a0d,3.0.0,Transfer,334.82,2024-09-18 20:56:38
48,17,f414c465-b41b-4e47-998a-ff9d6862e502,2.1.0,BalanceCheck,205.24,2023-07-09 04:05:35
49,17,6dfa878b-1fb9-4c64-b668-46652d53b6c6,1.2.0,BillPay,725.0,2025-01-09 12:16:13
50,18,023df90b-a2ce-4b40-9db6-23c6859063c2,1.0.0,BalanceCheck,758.2,2024-08-01 14:56:54
51,18,6afd1994-175c-4259-ae61-e0dbbb29479e,2.1.0,BalanceCheck,171.54,2023-07-01 13:12:47
52,19,19cb09b1-3469-448c-9813-4a1e15d2f019,1.1.2,TopUp,392.33,2023-08-03 01:02:34
53,19,cb08c9fe-e2ae-4a93-9762-d417f736dea2,1.1.2,Transfer,151.24,2024-04-23 03:08:22
54,19,5833e6a6-2a26-4aa3-bffa-e5f2004d494d,1.2.0,TopUp,954.25,2025-04-04 08:31:08
55,19,786ab0d3-b41c-4c5d-a4f0-9f3b2c67267e,1.2.0,Transfer,425.09,2024-06-26 21:23:55
56,19,bb5b8fef-d142-41c5-80ef-5e1f1f87c5d8,1.0.0,Transfer,382.97,2025-03-28 12:19:26
57,20,20b363fd-e017-4fd4-9952-8206ffca5c64,2.1.0,QRPayment,558.98,2023-11-12 05:50:51
58,21,d290bf3a-0539-457d-961c-c2f5db9bb881,3.0.0,TopUp,563.09,2023-10-26 01:39:15
59,22,5463c2ec-1e38-4670-aac5-cfa51c4c0b5a,2.0.1,TopUp,284.48,2025-03-23 13:41:39
60,22,03bdbf30-3394-46c1-8036-d4f60d1bb6ed,3.0.0,BillPay,729.97,2025-03-23 21:08:31
61,22,76588494-c554-4607-b583-39b440c2e717,1.1.2,BalanceCheck,445.98,2025-05-30 06:47:47
62,23,353bd841-cc69-4eb4-9efe-d3bf8555913f,1.1.2,TopUp,598.21,2025-05-31 09:36:05
63,23,552e2a1f-d802-4934-99b4-3eeb451612c3,1.1.2,BalanceCheck,118.44,2023-10-17 18:12:23
64,24,fff20df7-868a-44b6-945a-d461c9658852,1.0.0,TopUp,14.36,2025-03-19 22:52:34
65,24,33d2c7d6-90c0-4073-a08d-7eaa2bc9ef62,1.2.0,QRPayment,756.83,2024-01-26 23:02:18
66,24,903fe528-46ac-4f50-9eab-47c9696e0aef,2.1.0,TopUp,851.49,2024-09-07 12:27:24
67,24,86c9628d-648f-42e1-b1df-730c29ce3e48,1.1.2,BalanceCheck,708.87,2024-02-15 01:45:59
68,24,5cf6821b-bf41-4a27-82a5-c9a44077b0fb,1.1.2,BalanceCheck,352.09,2024-04-16 12:44:59
69,25,4f214d54-99f6-49f1-9bc2-9e5cb385ad75,3.0.0,TopUp,330.6,2023-07-16 16:47:18
70,25,bf75b1e5-7f0b-4aef-818f-5e1129dd5e58,2.0.1,QRPayment,538.56,2024-02-26 13:47:57
71,26,c9f7afe6-d078-4bd0-b3a6-85eec4231d9e,3.0.0,BalanceCheck,990.05,2024-03-20 06:42:54
72,26,196aeb7b-f776-428e-b97e-df98e71323aa,1.2.0,BillPay,355.73,2025-04-27 17:06:06
73,27,d13e4a16-f6b9-4d09-a727-86011f165263,2.1.0,BillPay,126.45,2024-01-24 12:42:34
