SalaryID,EmployeeID,BaseSalary,Bonus,Deductions,PaymentDate
1,1,3042.02,339.96,248.18,2025-02-13
2,1,4902.62,658.86,423.62,2025-04-19
3,1,2077.44,173.66,55.38,2025-05-17
4,1,4898.88,379.56,164.11,2025-05-20
5,2,3854.32,137.32,177.67,2025-01-23
6,2,1479.21,23.12,93.23,2025-05-29
7,2,2131.69,77.48,188.09,2025-06-17
8,3,4821.36,623.57,53.16,2025-02-24
9,3,4924.68,266.34,258.26,2025-03-01
10,3,3389.8,643.15,173.86,2025-06-05
11,4,4431.07,177.85,223.76,2025-01-16
12,4,1146.98,162.17,20.69,2025-02-06
13,4,2519.71,114.86,221.4,2025-04-26
14,4,2774.9,299.66,116.85,2025-06-07
15,4,3511.79,340.06,339.38,2025-06-13
16,5,3590.94,271.52,283.67,2025-01-21
17,5,2191.15,134.2,47.06,2025-02-18
18,5,2784.88,398.06,72.41,2025-03-09
19,5,3109.52,496.38,275.47,2025-03-21
20,5,4012.91,335.92,364.46,2025-05-10
21,6,1043.3,39.21,24.97,2025-02-15
22,6,2088.28,351.72,143.61,2025-05-21
23,6,4303.94,733.59,281.68,2025-05-24
24,6,2736.55,547.26,2.27,2025-05-31
25,6,1818.08,12.27,141.15,2025-06-02
26,7,4829.29,596.4,353.47,2025-03-10
27,7,3093.69,139.11,85.58,2025-03-16
28,7,1484.87,130.3,122.7,2025-03-29
29,7,4585.05,571.77,379.45,2025-04-16
30,7,2424.05,98.26,112.81,2025-04-27
31,7,2406.89,284.56,137.63,2025-05-01
32,8,4623.58,911.33,218.5,2025-01-17
33,8,4121.37,759.34,57.04,2025-02-07
34,8,1387.76,54.22,6.02,2025-02-16
35,9,2845.06,559.97,256.23,2025-01-18
36,9,3596.16,633.52,142.7,2025-01-24
37,9,2248.96,124.5,121.66,2025-02-01
38,9,4917.89,416.31,339.71,2025-03-26
39,9,4709.04,430.75,113.92,2025-05-31
40,10,4636.11,64.7,275.88,2024-12-28
41,10,2912.76,559.67,93.05,2024-12-29
42,10,4537.28,81.52,26.88,2025-01-01
43,10,4601.79,846.58,133.82,2025-03-11
44,10,1799.43,338.09,168.48,2025-04-06
45,10,1025.68,95.59,18.26,2025-06-11
46,11,4192.74,639.03,273.49,2025-02-10
47,11,3781.77,563.88,374.5,2025-02-19
48,11,2887.21,242.16,182.17,2025-05-17
49,11,4788.21,292.35,240.91,2025-06-03
50,12,4409.32,260.37,121.29,2025-02-06
51,12,1224.49,88.2,32.7,2025-04-05
52,12,979.47,156.82,41.13,2025-05-30
53,12,4997.31,367.52,315.41,2025-06-21
54,13,1434.11,151.9,120.02,2024-12-25
55,13,2302.61,194.61,88.4,2025-03-01
