AccountID,CustomerID,BrokerageFirm,TotalInvested,CurrentValue
1,328,Freedom Finance,78946.33,89347.94
2,328,eToro,5872.24,5303.92
3,842,Freedom Finance,33134.26,30597.44
4,842,Robinhood,80182.9,90795.33
5,546,Freedom Finance,90799.16,113936.61
6,546,Interactive Brokers,64344.99,96121.58
7,763,Saxo Bank,16288.25,17921.88
8,763,eToro,91753.31,80459.11
9,864,Freedom Finance,39732.01,52998.52
10,864,Freedom Finance,71666.0,72442.28
11,457,Robinhood,18982.54,23356.84
12,457,Interactive Brokers,71735.73,61147.11
13,576,eToro,52249.58,75241.0
14,576,Tinkoff,62734.73,56595.74
15,454,Tinkoff,10730.17,11298.77
16,2,Saxo Bank,72511.8,96681.98
17,2,Freedom Finance,74293.58,68659.91
18,743,Freedom Finance,9890.97,10164.66
19,743,Freedom Finance,45085.92,66653.13
20,878,Tinkoff,99147.56,117377.33
21,730,Tinkoff,39853.92,37192.64
22,730,Robinhood,96098.88,136437.88
23,51,Robinhood,59069.42,57289.22
24,343,Saxo Bank,60608.52,52194.45
25,211,Tinkoff,55712.19,51336.17
26,284,Saxo Bank,66098.04,92245.13
27,320,eToro,14064.7,19348.43
28,123,Saxo Bank,87063.61,76397.37
29,123,Saxo Bank,56534.04,83987.69
30,973,Saxo Bank,84235.49,86741.18
31,501,Interactive Brokers,3712.87,4129.65
32,501,Saxo Bank,30608.51,29280.41
33,234,Tinkoff,82657.03,73980.88
34,234,Freedom Finance,88638.78,102634.67
35,145,Interactive Brokers,5029.92,6317.39
36,145,Tinkoff,21784.22,31794.57
37,3,Robinhood,69236.21,102395.33
38,3,Robinhood,64241.45,81467.83
39,389,Robinhood,66239.95,57658.18
40,540,Tinkoff,80691.7,78463.65
41,540,Tinkoff,12832.15,15548.36
42,338,Robinhood,54950.44,81791.97
43,338,Saxo Bank,32908.23,36345.35
44,174,Interactive Brokers,50902.24,73839.77
45,802,eToro,97059.64,91832.72
46,551,Interactive Brokers,89993.61,84015.44
47,911,eToro,32368.17,32381.62
48,911,eToro,37728.31,50126.55
49,464,Interactive Brokers,95375.98,131261.64
50,464,Saxo Bank,7918.41,8965.46
51,817,Interactive Brokers,14746.8,21196.05
52,817,Robinhood,97711.27,112239.49
53,565,Interactive Brokers,15450.07,19120.07
54,900,Saxo Bank,59193.0,86655.81
55,152,Saxo Bank,68647.63,61237.17
56,381,Freedom Finance,24703.54,28327.58
57,218,Tinkoff,15940.17,19548.87
58,183,Robinhood,60719.31,51891.87
59,183,Tinkoff,19016.56,20205.99
60,825,Saxo Bank,38415.34,33086.07
61,825,Freedom Finance,90337.46,82128.87
62,16,Saxo Bank,53724.9,52390.16
63,16,Saxo Bank,50524.54,66845.5
64,98,Tinkoff,36146.09,42515.56
65,720,eToro,92702.0,87527.01
66,720,Saxo Bank,99544.21,133030.16
67,670,eToro,25854.9,32631.95
68,60,Interactive Brokers,66267.32,73259.41
69,60,Interactive Brokers,64058.32,75715.34
70,574,Freedom Finance,44633.74,65224.58
71,157,eToro,41653.79,36514.87
72,157,Interactive Brokers,42538.03,48950.26
73,128,eToro,1807.53,2327.31
74,80,Saxo Bank,95583.79,117025.41
75,80,Saxo Bank,36569.5,47077.24
76,855,Robinhood,11069.35,10558.37
77,131,Saxo Bank,8384.85,8177.3
78,131,Tinkoff,82287.86,90336.23
79,968,Saxo Bank,53122.71,49481.61
80,448,Saxo Bank,13377.41,17133.65
81,448,eToro,66359.01,76210.61
82,424,Interactive Brokers,9180.86,10803.87
83,390,Tinkoff,96381.63,106844.58
84,390,eToro,52252.99,59137.89
85,368,eToro,95833.73,89371.13
