TransactionID,AccountID,TransactionType,Amount,Currency,Date,Status,ReferenceNo
1,301,Deposit,2008.85,HRK,11/12/2024 13:37,Pending,390d3d03-c392-46c1-823b-495a72757e47
2,927,Payment,14698.95,HRK,3/3/2025 9:00,Pending,50f76ca7-59d9-4564-b967-27eb194b3c0e
3,1359,Payment,5078.2,HRK,11/11/2024 10:41,Pending,8a33cf47-04f9-4d48-a8dc-80be482926d4
4,28,Transfer,6029.67,EUR,6/23/2023 1:26,Pending,cf633dc6-ffd5-43fd-a56e-299289f4fc18
5,1061,Payment,2264.09,EUR,3/6/2025 14:36,Completed,ce0613b2-f16a-4e1f-ba89-8b9e386d2018
6,303,Payment,17126.75,HRK,1/3/2023 4:37,Completed,204a44f0-5e90-4423-8583-cbc7670c7bae
7,732,Payment,627.78,USD,3/15/2023 19:27,Pending,ef4cc1ad-2603-4349-8fa3-d0d8b1b6f5be
8,737,Withdrawal,14889.86,EUR,9/24/2024 20:33,Completed,0f0093e0-ecee-4932-9fa8-28dacdfbc323
9,774,Deposit,19309.41,HRK,12/1/2022 17:51,Pending,0e7cdbef-21de-4a44-abae-0ebb08bdee62
10,1080,Withdrawal,5313.53,USD,10/22/2024 21:54,Pending,dc9c5495-a16e-4b32-bc06-14d9252dfc92
11,679,Payment,11787.07,EUR,8/6/2024 4:04,Pending,bd35c6cc-4ac7-4089-a960-b130ac6f59c8
12,634,Withdrawal,831.59,HRK,8/23/2022 1:23,Pending,b3591cc4-98d7-4536-9377-bf25f17ed678
13,1255,Deposit,8674.86,HRK,8/16/2024 22:36,Pending,549b1cc7-cf90-4d9d-b4f1-eff660e728af
14,1161,Transfer,5775.29,HRK,5/13/2023 19:17,Completed,673b8231-7f66-4581-b17c-ab09cd50021a
15,1022,Withdrawal,9331.69,EUR,8/14/2023 9:13,Completed,6704d742-2da0-4870-b20c-8847e3cd0a8a
16,1072,Transfer,12479.66,USD,11/5/2024 13:57,Completed,2127ba1a-9740-4eb6-ad64-b2c147e84281
17,622,Payment,5772.32,HRK,10/9/2024 22:16,Pending,f39b8caa-7b82-4a03-90c2-eeec98ff12a8
18,32,Payment,828.65,HRK,12/9/2023 4:35,Pending,363669bf-244e-4b2e-a7a1-5bc997827186
19,1215,Deposit,1073.33,EUR,2/12/2023 22:16,Pending,471c0e5f-d9c0-42fc-8146-b73b329eeb18
20,11,Payment,7051.59,HRK,9/19/2023 8:15,Completed,abb0b4a8-9bc2-4a92-a088-cc9c3d430bea
21,103,Transfer,2763,USD,3/23/2024 14:01,Pending,48b0fce2-9f98-48b2-b233-e16ba80fa7c8
22,1029,Withdrawal,19074.17,EUR,2/2/2024 4:10,Pending,73a4e988-719e-4ebf-a32c-6605f5033e6d
23,293,Withdrawal,8646.7,USD,3/29/2023 8:48,Completed,d700baf9-fbd4-4a2d-b985-197e8f8f0c24
24,596,Withdrawal,652.41,USD,11/19/2024 13:31,Pending,1cea4d5b-b3d7-4139-bfce-1b3579f273b3
25,510,Payment,8457.04,EUR,11/23/2023 9:36,Completed,a0675985-e0c9-403f-a6e5-60147df5790b
26,536,Transfer,11944.81,HRK,3/10/2023 17:33,Completed,d79d7d82-a97c-4b02-840b-f57d73a3b1fc
27,1155,Payment,13581.67,EUR,8/10/2022 7:06,Pending,c8f734ca-69b4-4ccc-b7ea-a308493c7592
28,1185,Withdrawal,13669.59,USD,10/13/2022 9:32,Completed,7820238a-e6d6-4bba-b6bc-96781505d09e
29,513,Withdrawal,8332.08,USD,7/12/2022 0:26,Completed,7e58bd0c-2bbb-4ecc-a8dc-bb71b4b9922e
30,617,Transfer,1721.1,HRK,3/12/2024 19:27,Pending,ccc6796b-f1ef-4601-9f8f-a4f3b27e0b03
31,1118,Withdrawal,7525.56,HRK,5/24/2023 12:15,Pending,a3128b9c-7a5a-4ed2-8c75-a5778b7a4f0b
32,197,Withdrawal,10536.16,USD,12/6/2022 6:53,Pending,7e0f7d9a-7971-4a85-86ea-7ac73a408987
33,1032,Transfer,9372.89,EUR,8/5/2022 17:28,Pending,146a385e-1a37-4ddf-bcaa-96d44c5106b6
34,956,Payment,19229.32,EUR,3/9/2024 0:07,Pending,828abd5c-c2c4-4996-bd56-2e507b467f7d
35,57,Deposit,19150.26,USD,2/9/2024 3:25,Pending,f6e2ffc4-13e5-413c-b226-1198ad6da93c
36,182,Withdrawal,12308.02,USD,9/24/2023 12:21,Pending,29989261-ce80-44c7-a595-bd4df3bd7cfe
37,497,Transfer,2554.22,EUR,6/21/2024 8:35,Pending,c991c217-87ad-49b2-ae86-6caa43079bdb
38,110,Payment,2527.46,USD,6/29/2023 18:44,Completed,57da8032-689c-4236-93f1-d6ef0aaacac0
39,948,Payment,16785.57,USD,6/11/2024 6:03,Completed,eb2db322-613e-4269-8e01-a1ce5f2bf1e6
40,113,Transfer,16599.59,USD,5/24/2024 19:36,Completed,ed876e69-0e0e-4d3a-a02c-519614205357
41,683,Deposit,16440.58,USD,1/31/2025 19:55,Pending,723563b9-c4f9-46e2-a285-186f815ea146
