TransactionID,AccountID,TransactionType,Amount,Currency,Date,Status,ReferenceNo
1,698,Transfer,8160.35,USD,2022-07-31 20:44:04,Pending,TXN3938083
2,992,Payment,2510.62,USD,2023-05-27 01:07:41,Pending,TXN3549489
3,1268,Transfer,9387.33,UZS,2023-09-16 08:57:03,Completed,TXN0803976
4,398,Deposit,2242.99,EUR,2023-11-28 16:53:42,Pending,TXN4493943
5,625,Payment,475.0,USD,2022-11-24 07:41:52,Pending,TXN0457246
6,1146,Payment,6554.84,EUR,2024-04-26 00:54:55,Failed,TXN8026756
7,99,Withdrawal,3386.36,UZS,2022-10-14 02:44:09,Completed,TXN9003780
8,201,Deposit,5012.96,EUR,2024-09-05 19:52:07,Completed,TXN0355864
9,253,Withdrawal,7222.13,EUR,2023-01-20 08:50:47,Failed,TXN0171613
10,769,Payment,2362.57,UZS,2023-09-03 01:10:26,Pending,TXN5222759
11,1313,Transfer,5800.23,USD,2023-05-25 03:29:48,Completed,TXN3883208
12,721,Transfer,1590.17,GBP,2022-12-31 21:56:13,Completed,TXN0230546
13,1733,Withdrawal,3321.83,USD,2022-11-28 14:41:16,Failed,TXN5078052
14,1696,Transfer,3133.37,UZS,2024-07-17 18:57:06,Failed,TXN5057679
15,279,Transfer,8786.53,USD,2024-04-05 00:10:55,Completed,TXN9971380
16,1105,Deposit,5164.31,USD,2022-08-26 10:56:26,Pending,TXN6846903
17,33,Payment,5778.23,USD,2023-01-20 12:35:49,Completed,TXN5041200
18,533,Payment,1287.94,UZS,2022-06-25 10:00:24,Pending,TXN2153226
19,133,Withdrawal,8708.91,EUR,2024-08-17 05:09:00,Failed,TXN3966958
20,1594,Transfer,1788.0,UZS,2024-11-11 03:06:35,Pending,TXN4635364
21,933,Transfer,5116.15,USD,2024-10-15 09:22:03,Completed,TXN4788365
22,243,Deposit,476.55,GBP,2023-10-23 22:27:21,Completed,TXN5883281
23,1931,Deposit,1221.11,UZS,2024-10-31 04:23:06,Completed,TXN5631160
24,1762,Transfer,3640.73,UZS,2024-10-01 04:11:39,Completed,TXN9627308
25,1624,Withdrawal,2977.51,UZS,2024-05-24 07:51:11,Failed,TXN8773581
26,1168,Transfer,6342.32,USD,2023-05-07 05:22:25,Failed,TXN3546822
27,979,Withdrawal,6406.77,UZS,2023-09-26 10:06:01,Failed,TXN4416163
28,1576,Transfer,3180.37,USD,2024-03-13 13:17:00,Completed,TXN9556305
29,1294,Transfer,5423.76,EUR,2022-12-27 22:19:57,Pending,TXN9100339
30,1788,Payment,956.2,UZS,2025-04-03 04:39:12,Pending,TXN0022464
31,1093,Transfer,5224.62,UZS,2024-05-05 15:01:33,Completed,TXN4838319
32,1837,Withdrawal,1934.26,EUR,2022-06-25 23:19:25,Completed,TXN7383165
33,1672,Transfer,7776.67,UZS,2025-03-15 14:39:39,Pending,TXN3483806
34,688,Withdrawal,8836.99,EUR,2022-11-08 22:40:43,Pending,TXN9030849
35,361,Withdrawal,5758.2,EUR,2024-01-01 10:40:05,Completed,TXN2575853
