LogID,UserID,ActionType,Timestamp
1,1,FailedLogin,2025-05-20 20:57:11
2,1,Logout,2025-05-26 08:29:56
3,1,SessionTimeout,2024-12-26 19:37:13
4,1,PasswordChange,2025-01-17 04:36:15
5,1,Logout,2025-03-14 07:58:13
6,1,FailedLogin,2025-06-23 00:04:03
7,1,SessionTimeout,2025-05-18 22:26:03
8,1,SessionTimeout,2025-04-14 19:52:25
9,2,PasswordChange,2025-01-29 05:46:15
10,2,Login,2025-04-09 21:25:34
11,2,Login,2025-05-17 04:34:34
12,2,Logout,2025-06-12 02:02:58
13,2,FailedLogin,2025-05-02 11:55:35
14,3,PasswordChange,2025-01-28 11:20:58
15,3,FailedLogin,2025-04-17 14:01:35
16,3,PasswordChange,2025-04-20 21:29:51
17,3,Login,2025-05-10 11:22:01
18,3,FailedLogin,2025-04-26 11:36:23
19,3,PasswordChange,2025-03-21 05:05:21
20,4,Login,2025-03-18 12:42:53
21,4,SessionTimeout,2025-01-23 05:35:38
22,4,Logout,2025-02-05 08:44:07
23,4,Logout,2025-01-11 17:35:39
24,4,PasswordChange,2025-05-20 14:16:07
25,5,FailedLogin,2025-03-29 15:08:31
26,5,Logout,2025-06-10 07:43:37
27,5,PasswordChange,2025-01-18 19:32:37
28,5,FailedLogin,2025-06-10 09:23:46
29,5,PasswordChange,2025-03-08 18:37:57
30,5,FailedLogin,2025-05-05 12:03:01
31,5,FailedLogin,2025-05-01 13:35:16
32,5,Login,2025-01-18 22:26:52
33,5,SessionTimeout,2025-02-25 04:16:30
34,5,SessionTimeout,2025-06-14 11:11:07
35,6,PasswordChange,2025-05-07 20:23:12
36,6,Login,2025-05-16 16:08:15
37,6,Logout,2025-03-29 21:04:39
38,6,Login,2025-03-19 13:24:15
39,6,FailedLogin,2025-06-09 13:27:34
40,7,SessionTimeout,2025-04-10 05:36:00
41,7,Logout,2025-05-30 03:16:15
42,7,Logout,2025-02-15 03:59:31
43,7,Login,2025-03-12 08:23:10
44,7,Logout,2025-01-11 20:38:29
45,7,SessionTimeout,2025-02-09 15:45:13
46,7,PasswordChange,2024-12-29 19:30:23
47,7,PasswordChange,2025-05-28 23:31:28
48,7,Logout,2025-05-20 08:22:28
49,8,SessionTimeout,2025-05-27 10:59:01
50,8,PasswordChange,2025-05-02 02:20:18
51,8,Logout,2025-05-29 10:35:26
52,8,Logout,2025-04-03 14:12:36
53,8,SessionTimeout,2025-01-24 14:14:48
54,8,FailedLogin,2025-01-26 01:58:14
55,8,PasswordChange,2025-01-09 12:18:06
56,8,Logout,2025-02-26 20:05:51
57,9,PasswordChange,2025-01-16 11:43:44
58,9,SessionTimeout,2025-04-16 04:59:09
